Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
Asturias,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Punta Cana - Higuey,Dominican Republic,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Perth,Australia,PMI,Regular,Full Flavor,STD,KS,1,3
Verona,Italy,PMI,Regular,Full Flavor,STD,KS,1,8
Corfu,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Asturias,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
RIYADH,Saudi Arabia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Berlin Brandenburg,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Norwich,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Guayaquil,Ecuador,PMI,Regular,Full Flavor,SLI,KS,1,1
Belo Horizonte,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
Montpellier,France,PMI,Regular,Lights,STD,KS,1,2
Szczecin,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
Fortaleza,Brazil,PMI,Menthol,Full Flavor,STD,KS,1,1
Puerto Plata,Dominican Republic,PMI,Regular,Full Flavor,STD,KS,1,4
Rio de Janeiro,Brazil,PMI,Menthol,Full Flavor,STD,KS,1,1
Samana El Catey,Dominican Republic,PMI,Regular,Full Flavor,STD,KS,1,4
Fuzhou Changle,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Takamatsu,Japan,PMI,Menthol,Full Flavor,STD,KS,1,4
Vigo,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Exeter,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Santo Domingo Las Americas,Dominican Republic,PMI,Regular,Full Flavor,STD,KS,1,3
Yinchuan Hedong,China,PMI,Regular,Full Flavor,STD,KS,1,7
Antalya Gazipasa Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Grenoble,France DP,PMI,Regular,Full Flavor,STD,KS,1,9
Tarbes - Lourdes,France,PMI,Regular,Full Flavor,STD,KS,1,6
Dubai,United Arab Emirates,PMI,Regular,Ultralights,STD,KS,1,2
Gdansk,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Cali,Colombia,PMI,Regular,Full Flavor,STD,KS,1,2
Oujda,Morocco,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Minsk,Belarus,PMI,Regular,Full Flavor,STD,KS,1,0
Entebbe,Uganda,PMI,Regular,Full Flavor,SLI,KS,1,0
Konya Airport,Turkey,PMI,Regular,Lights,STD,KS,1,1
Monastir,Tunisia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Los Cabos,Mexico,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Sharm El Sheikh,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Taichung,Taiwan,PMI,Menthol Caps,Full Flavor,SLI,KS,1,1
Port-au-Prince (Haiti),Caribbean Other,PMI,Regular,Full Flavor,SLI,KS,1,2
Lagos,Nigeria,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Baghdad,Iraq,PMI,Regular,Full Flavor,STD,KS,1,2
Ixtapa Zihuatanejo,Mexico,PMI,Menthol,Full Flavor,STD,KS,1,1
Lisbon,Portugal,PMI,Regular,Full Flavor,STD,KS,1,1
Fuzhou Changle,China,PMI,Regular,Full Flavor,STD,KS,1,7
Florence,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Weihai Dashuibo,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Fuerteventura,Canary Islands,PMI,Regular,Full Flavor,SLI,KS,1,1
Basrah,Iraq,PMI,Regular,Full Flavor,SLI,KS,1,3
Tangier,Morocco,PMI,Regular,Full Flavor,SLI,KS,1,1
Phnom Penh,Cambodia,PMI,Regular,Full Flavor,SLI,KS,1,1
Toulouse,France DP,PMI,Regular,Lights,STD,KS,1,2
Johor Bahru,Malaysia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Abidjan,Ivory Coast,PMI,Regular,Full Flavor,STD,KS,1,0
Johannesburg,South Africa,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Aqaba,Jordan,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Ho Chi Minh,Vietnam,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Johor Bahru,Malaysia,PMI,Regular,Full Flavor,SLI,KS,1,1
Erbil International Airport,Iraq,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Cali,Colombia,PMI,Menthol,Full Flavor,STD,KS,1,2
Dortmund,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Ciampino Airport,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Madrid Barajas,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Rio de Janeiro,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
Melbourne,Australia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Granada,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Mudanjiang Hailang,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Zhengzhou Xinzheng,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Nantes,France,PMI,Regular,Full Flavor,STD,KS,1,7
Corfu,Greece,PMI,Regular,Full Flavor,STD,KS,1,9
Tangier,Morocco,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Kuala Lumpur,Malaysia,PMI,Regular,Full Flavor,STD,KS,1,2
Izmir Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Haiphong,Vietnam,PMI,Regular,Full Flavor,STD,KS,1,1
Alexandria,Egypt,PMI,Regular,Full Flavor,STD,KS,1,4
Ouarzazate,Morocco,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Frankfurt,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Yangyang,South Korea,PMI,Regular,Full Flavor,SLI,KS,1,2
Mudanjiang Hailang,China,PMI,Regular,Full Flavor,STD,KS,1,7
Samos,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Xian Xianyang,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Santiago De Compostela,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Sevilla,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Abu Dhabi,United Arab Emirates,PMI,Regular,1mg,STD,KS,1,2
Astrakhan,Russia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Monterrey,Mexico,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Salalah,Oman,PMI,Regular,Full Flavor,STD,KS,1,1
Chongqing Jiangbei,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Volgograd,Russia,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Santiago Arturo Merino Benitez,Chile,PMI,Regular,Full Flavor,STD,KS,1,0
Santo Domingo Las Americas,Dominican Republic,PMI,Menthol,Full Flavor,STD,KS,1,2
Singapore - Changi,Singapore,PMI,Regular,Full Flavor,STD,KS,1,0
Daegu,South Korea,PMI,Menthol,Full Flavor,STD,KS,1,1
Jeddah,Saudi Arabia,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Treviso,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Kota Kinabalu,Malaysia,PMI,Regular,Full Flavor,STD,KS,1,2
Nice,France DP,PMI,Regular,Full Flavor,STD,KS,1,9
Nantes,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
DAMMAM,Saudi Arabia,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Ibiza,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Lima,Peru,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Tunis,Tunisia,PMI,Menthol,Full Flavor,STD,KS,1,1
Tuzla,Bosnia-Herzegovinia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Jerba,Tunisia,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Salalah,Oman,PMI,Regular,Full Flavor,SLI,KS,1,0
Cochin,India,PMI,Regular,Full Flavor,STD,KS,1,4
Madeira,Portugal,PMI,Regular,Full Flavor,STD,KS,1,1
Brasilia,Brazil,PMI,Regular,Full Flavor,STD,KS,1,5
Bujumbura,Burundi,PMI,Regular,Full Flavor,SLI,KS,1,0
Hannover,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
St. Petersburg Pulkovo,Russia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Roland Garros,Reunion,PMI,Regular,Full Flavor,SLI,KS,1,0
Sydney,Australia,PMI,Regular,Full Flavor,STD,KS,1,2
Lyon Saint Exupery,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Doha,Qatar,PMI,Regular,Full Flavor,SLI,KS,1,0
Lyon Saint Exupery,France DP,PMI,Regular,Lights,STD,KS,1,2
Zia,Bangladesh,PMI,Regular,Full Flavor,STD,KS,1,0
Zurich,Switzerland,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Sanya Fenghuang,China,PMI,Regular,Full Flavor,STD,KS,1,7
Min Vody,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Busan - Kimhae,South Korea,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Charleroi,Belgium,PMI,Regular,Full Flavor,STD,KS,1,1
Tangier,Morocco,PMI,Menthol,Full Flavor,STD,KS,1,1
Mexico City,Mexico,PMI,Regular,Full Flavor,SLI,KS,1,2
Tangier,Morocco,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Macau,Macau,PMI,Regular,Full Flavor,STD,KS,1,0
Radom,Poland,PMI,Regular,Full Flavor,SLI,KS,1,1
A Coruna,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Guangzhou Baiyun,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Barcelona,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Belo Horizonte,Brazil,PMI,Menthol,Full Flavor,STD,KS,1,1
Aktio,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Cordoba,Argentina,PMI,Regular,Full Flavor,SLI,KS,1,2
Liberia,Costa Rica,PMI,Regular,Full Flavor,SLI,KS,1,1
Gaziantep Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Santander,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,6
Yangyang,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,4
Amsterdam - Schiphol,Netherlands,PMI,Regular,Full Flavor,SLI,KS,1,1
Nantes,France,PMI,Regular,Lights,STD,KS,1,2
Tokyo - Narita,Japan,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Mexico City,Mexico,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Tokyo - Narita,Japan,PMI,Menthol,Full Flavor,STD,KS,1,4
Oujda,Morocco,PMI,Regular,Full Flavor,STD,KS,1,5
Paris Charles De Gaulle,France DP,PMI,Regular,Lights,STD,KS,1,2
Incheon,South Korea,PMI,Regular,Lights,SLI,KS,1,1
Milan - Malpensa,Italy,PMI,Regular,Full Flavor,STD,KS,1,7
Hong Kong,Hong Kong,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Palma De Mallorca,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Pamandzi,Mayotte,PMI,Regular,Lights,STD,KS,1,0
Sydney,Australia,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Bridgetown,Barbados,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Iwate,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Wuhan Tianhe,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Rabil,Cape Verde,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Mendoza,Argentina,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Nanjing Lukou,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Kingston,Jamaica,PMI,NTD Caps,Full Flavor,STD,KS,1,1
DAMMAM,Saudi Arabia,PMI,Regular,Full Flavor,STD,KS,1,2
Eskisehir Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Amman,Jordan,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Fortaleza,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Paramaribo,Suriname,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Bodrum Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Panama Tocumen,Panama,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Bordeaux,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Xian Xianyang,China,PMI,Regular,Full Flavor,STD,KS,1,7
Tokyo - Haneda,Japan,PMI,Menthol,Full Flavor,STD,KS,1,4
Athens,Greece,PMI,Regular,Full Flavor,STD,KS,1,8
Cheongju,South Korea,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Belo Horizonte,Brazil,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Agadir,Morocco,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Rhodes,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Cape Town,South Africa,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Togo,Togo,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Rio de Janeiro,Brazil,PMI,Regular,Full Flavor,STD,KS,1,5
Manchester,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Rabat,Morocco,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Paris Charles De Gaulle,France DP,PMI,Regular,Full Flavor,STD,KS,1,9
Basrah,Iraq,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Monterrey,Mexico,PMI,Menthol,Full Flavor,STD,KS,1,1
Christchurch,New Zealand,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Windhoek,Namibia,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Granada,Spain,PMI,Regular,Full Flavor,STD,KS,1,6
Viracopos,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
St. Maarten Princess Juliana,Saint Marteen (NL),PMI,NTD Caps,Full Flavor,STD,KS,1,0
Malmo,Sweden,PMI,Regular,Full Flavor,STD,KS,1,3
Mazatlan,Mexico,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Santo Domingo Las Americas,Dominican Republic,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Bordeaux,France,PMI,Regular,Lights,STD,KS,1,2
Zurich,Switzerland,PMI,Regular,Full Flavor,STD,KS,1,2
Dalian Zhoushuizi,China,PMI,Regular,Full Flavor,STD,KS,1,7
Lille,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Addis Ababa,Ethiopia,PMI,Regular,Full Flavor,SLI,KS,1,0
Baghdad,Iraq,PMI,Regular,Full Flavor,SLI,KS,1,3
Amman,Jordan,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Viracopos,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Frankfurt,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Everrich Downtown Kinmen,Taiwan,PMI,Regular,Full Flavor,STD,KS,1,1
Nis,Serbia,PMI,Regular,Full Flavor,STD,KS,1,1
Windhoek,Namibia,PMI,Regular,Full Flavor,STD,KS,1,0
Pengsheng,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Salalah,Oman,PMI,Menthol,Full Flavor,STD,KS,1,1
Granada,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,6
Hong Kong,Hong Kong,PMI,Regular,Full Flavor,STD,KS,1,0
Kalibo,Philippines,PMI,Regular,Full Flavor,STD,KS,1,1
Yantai Penglai,China,PMI,Regular,Full Flavor,STD,KS,1,7
Trabzon Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,10
Changsha Huanghua,China,PMI,Regular,Full Flavor,STD,KS,1,7
Antigua,Caribbean Other,PMI,Menthol,Full Flavor,STD,KS,1,2
Cochin,India,PMI,Regular,Full Flavor,SLI,KS,1,2
Hong Kong,Hong Kong,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Viracopos,Brazil,PMI,Menthol,Full Flavor,STD,KS,1,1
Guayaquil,Ecuador,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Guangzhou Baiyun,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Tarbes - Lourdes,France DP,PMI,Regular,Full Flavor,STD,KS,1,8
Szczecin,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
London Gatwick,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Stavanger,Norway,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Tenerife,Canary Islands,PMI,Regular,Full Flavor,SLI,KS,1,1
Beauvais,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Manila - Ninoy Aquino,Philippines,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Penang,Malaysia,PMI,Regular,Full Flavor,STD,KS,1,2
Jeju,South Korea,PMI,Regular,Full Flavor,STD,KS,1,5
Grenoble,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Leeds Bradford,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Gaziantep Airport,Turkey,PMI,Regular,Lights,STD,KS,1,1
Montego Bay,Jamaica,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Mahon Airport,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Hohhot Baita,China,PMI,Regular,Full Flavor,STD,KS,1,7
Marsa Aalam,Egypt,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Eskisehir Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Tarbes - Lourdes,France DP,PMI,Regular,Lights,STD,KS,1,2
Hannover,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Copenhagen,Denmark,PMI,Regular,Full Flavor,SLI,KS,1,3
Alexandoupolis,Greece,PMI,Regular,Full Flavor,STD,KS,1,9
Rhodes,Greece,PMI,Regular,Full Flavor,STD,KS,1,8
Moscow - Vnukovo,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Lusaka,Zambia,PMI,Regular,Full Flavor,STD,KS,1,0
Johor Bahru,Malaysia,PMI,Menthol,Full Flavor,STD,KS,1,1
Berlin Brandenburg,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Muscat,Oman,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Abuja,Nigeria,PMI,Regular,Full Flavor,SLI,KS,1,1
Moscow - Sheremetyevo,Russia,PMI,Menthol,Full Flavor,STD,KS,1,1
Kuwait,Kuwait,PMI,Regular,Full Flavor,STD,KS,1,0
Dalaman Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,14
Vientiane,Laos,PMI,Menthol,Full Flavor,STD,KS,1,0
Kayseri Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Panama Tocumen,Panama,PMI,Regular,Full Flavor,STD,KS,1,0
Rosario,Argentina,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Paris Charles De Gaulle,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Essaouira,Morocco,PMI,Regular,Full Flavor,STD,KS,1,4
Port-au-Prince (Haiti),Caribbean Other,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Nador,Morocco,PMI,Regular,Full Flavor,SLI,KS,1,1
Daegu,South Korea,PMI,Regular,Full Flavor,STD,KS,1,5
Dubrovnik,Croatia,PMI,Regular,Full Flavor,SLI,KS,1,1
Miyazaki,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Alexandria,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Fuerteventura,Canary Islands,PMI,Regular,Full Flavor,STD,KS,1,1
Erbil International Airport,Iraq,PMI,Regular,Full Flavor,SLI,KS,1,3
Cayenne,French Guyana,PMI,Regular,Full Flavor,STD,KS,1,0
Cairns,Australia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Aalborg,Denmark,PMI,Regular,Full Flavor,STD,KS,1,2
Panama Tocumen,Panama,PMI,Regular,Full Flavor,SLI,KS,1,0
Male,Maldives,PMI,Regular,Full Flavor,STD,KS,1,0
Shanghai Pudong,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Auckland,New Zealand,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Liberia,Costa Rica,PMI,Regular,Full Flavor,STD,KS,1,1
Sfax,Tunisia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Rhodes,Greece,PMI,Regular,Lights,STD,KS,1,1
Ibiza,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
St. George's Point Saline,Grenada,PMI,Menthol,Full Flavor,STD,KS,1,0
Buenos Aires Aeroparque,Argentina,PMI,Regular,Full Flavor,STD,KS,1,1
Bordeaux,France DP,PMI,Regular,Full Flavor,STD,KS,1,9
Mexico City,Mexico,PMI,Regular,Full Flavor,STD,KS,1,6
Phnom Penh,Cambodia,PMI,Regular,Full Flavor,STD,KS,1,1
Gaziantep Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,15
Barcelona,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Belo Horizonte,Brazil,PMI,Regular,Full Flavor,STD,KS,1,5
Nanning Wuxu,China,PMI,Regular,Full Flavor,STD,KS,1,6
Muscat,Oman,PMI,Menthol,Full Flavor,STD,KS,1,1
Antalya Gazipasa Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Suleymania Airport,Iraq,PMI,Regular,Full Flavor,SLI,KS,1,3
Xiamen Gaoqi,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Ras El Khaymah,United Arab Emirates,PMI,Regular,1mg,STD,KS,1,3
Mandalay,Myanmar,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Ras El Khaymah,United Arab Emirates,PMI,Regular,Lights,STD,KS,1,2
Alexandoupolis,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Paris Charles De Gaulle,France,PMI,Regular,Full Flavor,STD,KS,1,7
Florianopolis,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Santiago Arturo Merino Benitez,Chile,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Paderborn,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Istanbul Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,15
Eindhoven,Netherlands,PMI,Regular,Full Flavor,SLI,KS,1,2
Guiyang Longdongbao,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Wroclaw,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
RIYADH,Saudi Arabia,PMI,Regular,Full Flavor,SLI,KS,1,2
Taiyuan Wusu,China,PMI,Regular,Full Flavor,STD,KS,1,7
Oranjestad,Aruba,PMI,Menthol,Full Flavor,STD,KS,1,0
Bilbao,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Ostrava,Czech Republic,PMI,Regular,Full Flavor,STD,KS,1,2
Gaborone,Botswana,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Ostrava,Czech Republic,PMI,Regular,Full Flavor,SLI,KS,1,2
Recife,Brazil,PMI,Regular,Full Flavor,STD,KS,1,5
Samsun Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Queretaro,Mexico,PMI,Regular,Full Flavor,STD,KS,1,5
Nuernberg,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Bergamo,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Nice,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Graz,Austria,PMI,Regular,Full Flavor,SLI,KS,1,1
Medina,Saudi Arabia,PMI,Regular,Full Flavor,STD,KS,1,2
Leopold Sedar Senghar,Senegal,PMI,Regular,Full Flavor,STD,KS,1,0
Los Cabos,Mexico,PMI,Regular,Full Flavor,SLI,KS,1,2
Porto,Portugal,PMI,Regular,Full Flavor,STD,KS,1,1
Sandefjord-Torp,Norway,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Cozumel,Mexico,PMI,Regular,Full Flavor,STD,KS,1,6
Danang,Vietnam,PMI,Regular,Full Flavor,STD,KS,1,1
Curacao,Curazao,PMI,Menthol,Full Flavor,STD,KS,1,0
Paramaribo,Suriname,PMI,Regular,Full Flavor,SLI,KS,1,0
Sochi,Russia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Oujda,Morocco,PMI,Regular,Full Flavor,SLI,KS,1,1
Indira Gandhi,India,PMI,NTD Caps,Full Flavor,STD,KS,1,3
San Jose,Costa Rica,PMI,Regular,Full Flavor,SLI,KS,1,1
Sao Paulo - Guarulhos,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Aswan,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
London Luton,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,4
Paramaribo,Suriname,PMI,Menthol,Full Flavor,STD,KS,1,0
Beauvais,France,PMI,Regular,Full Flavor,STD,KS,1,7
Batumi,Georgia,PMI,Regular,Full Flavor,SLI,KS,1,1
Mandalay,Myanmar,PMI,Menthol,Full Flavor,STD,KS,1,1
Okayama,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Bogota,Colombia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Takamatsu,Japan,PMI,Regular,Full Flavor,STD,KS,1,8
Dalian Zhoushuizi,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Nice,France DP,PMI,Regular,Lights,STD,KS,1,2
Durban,South Africa,PMI,Regular,Full Flavor,SLI,KS,1,1
Essaouira,Morocco,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Trabzon Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,15
Danang,Vietnam,PMI,Menthol,Full Flavor,STD,KS,1,1
Addis Ababa,Ethiopia,PMI,Menthol,Full Flavor,STD,KS,1,0
Beirut - Rafik Hariri,Lebanon,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Jeju,South Korea,PMI,Regular,Lights,SLI,KS,1,1
Stavanger,Norway,PMI,Regular,Full Flavor,STD,KS,1,4
Brisbane,Australia,PMI,Regular,Full Flavor,STD,KS,1,3
Ixtapa Zihuatanejo,Mexico,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Yangon,Myanmar,PMI,Menthol,Full Flavor,STD,KS,1,1
Cheongju,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Kuala Lumpur,Malaysia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Marsa Aalam,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Graz,Austria,PMI,Regular,Full Flavor,STD,KS,1,1
Xuzhou Guanyin,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Zanzibar,Tanzania,PMI,Regular,Full Flavor,SLI,KS,1,0
Yerevan,Armenia,PMI,Regular,Full Flavor,STD,KS,1,0
Krakow Balice,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
Aswan,Egypt,PMI,Regular,Full Flavor,SLI,KS,1,1
Sydney,Australia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Diyarbakir Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Alicante,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Guatemala City,Guatemala,PMI,Regular,Full Flavor,SLI,KS,1,0
Jersey,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,2
Gerona,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Prague,Czech Republic,PMI,Regular,Full Flavor,STD,KS,1,2
Chambery,France,PMI,Regular,Full Flavor,STD,KS,1,6
Cologne,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Hangzhou Xiaoshan,China,PMI,NTD Caps,Full Flavor,STD,KS,1,5
