Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
Lyon Saint Exupery,France,PMI,Regular,Full Flavor,STD,KS,1,7
Pengsheng,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Oslo,Norway,PMI,Regular,Full Flavor,SLI,KS,1,1
Ngurah Rai,Indonesia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Salvador,Brazil,PMI,Regular,Full Flavor,STD,KS,1,5
London Heathrow,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Singapore - Changi,Singapore,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Moscow - Sheremetyevo,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Sofia,Bulgaria,PMI,Regular,Full Flavor,SLI,KS,1,1
Geneva,Switzerland,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Ras El Khaymah,United Arab Emirates,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Shenyang Taoxian,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Bremen,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Sao Paulo - Guarulhos,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
La Paz Manuel Marquez de Leon,Mexico,PMI,Regular,Full Flavor,STD,KS,1,5
Fukuoka,Japan,PMI,Menthol,Full Flavor,STD,KS,1,4
Munster-Osnabruck,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Mykonos,Greece,PMI,Regular,Full Flavor,STD,KS,1,9
Ioannina,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Montego Bay,Jamaica,PMI,Regular,Full Flavor,SLI,KS,1,1
Paris Orly,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Pointe-a-Pitre,Guadalupe,PMI,Regular,Full Flavor,STD,KS,1,0
Medina,Saudi Arabia,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Buenos Aires Aeroparque,Argentina,PMI,Regular,Full Flavor,SLI,KS,1,2
Olsztyn,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
Durban,South Africa,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Windhoek,Namibia,PMI,Regular,Full Flavor,SLI,KS,1,0
Qingdao Liuting,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Seoul,South Korea,PMI,Regular,Full Flavor,SLI,KS,1,2
Yantai Penglai,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Abu Dhabi,United Arab Emirates,PMI,Regular,Lights,STD,KS,1,2
Aberdeen,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
