DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
United Arab Emirates,Abu Dhabi,BAT,BENSON & HEDGES,51862,BENSON & HEDGES - CLASSIC KS BOX,400,0,0,509200,0,0,12,0,0,215052.52
Turkey,Antalya Gazipasa Airport,PMI,MARLBORO,123074,MARLBORO - GOLD (3.5) 100's SOFT 400 TRANSPARENT BUNDLE - TURKEY DF,400,0,0,48800,0,0,9,0,0,10357.8
Turkey,Istanbul Airport,BAT,VOGUE,51102,VOGUE - MENTHE MENTHOL 100's BOX SUPERSLIMS,400,1650800,1271600,0,12,9,0,268128.45,219031.32,0
Mexico,Monterrey,PMI,L&M,123648,L&M - DOUBLE FORWARD MENTHOL KS RCB WHITE - GENERIC DF-ENG TXT,200,0,4600,0,0,8,0,0,713,0
Turkey,Istanbul Airport,JTI,CAMEL,43011,CAMEL - KS BOX,600,2764200,2515800,0,12,9,0,374229,352212,0
Turkey,Istanbul Airport,PMI,MARLBORO,125381,MARLBORO - WINTER SHUFFLE MENTHOL KS RCB (PROMO) C MUL WHITE - TURKEY DF,200,129400,905600,0,1,5,0,24521.3,171611.2,0
Turkey,Istanbul Airport,PMI,MARLBORO,137515,MARLBORO - SILVER BLUE (3.5) KS RCS WHITE - TURKEY DF,200,0,857000,992600,0,10,12,0,161615.9,196541.1
Turkey,Dalaman Airport,PMI,MARLBORO,109801,MARLBORO - DOUBLE FUSION PURPLE KS RCB C JUMBO RC WHITE - TURKEY DF,200,637800,487400,0,11,11,0,142076.1,114237.3,0
Taiwan,Taipei - Taoyuan,BAT,VOGUE,48721,VOGUE - SUPERSLIMS (PINK) 100's BOX SUPERSLIMS,200,358674,1895418,2682498,12,12,12,1255359,6633963,10637947.5
France,Beauvais,PMI,MARLBORO,123635,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX 400 TRANSPARENT BUNDLE - FRANCE DF GHW-FR05 - IDM FRANCE,400,80400,102400,85600,12,12,12,23470.5,32175.6,28101.8
Switzerland,Geneva,BAT,KENT,56256,KENT - WHITE KS RCB,200,102000,131000,104200,12,12,12,28114.36,37517.93,30385.17
South Korea,Incheon,KT & G,ESSE,56480,ESSE - SOON 0.1 100's BOX SUPERSLIMS,200,8027000,21904800,24122000,12,12,12,1195021,3285720,3618300
Turkey,Ankara Airport,POESCHL TABAK,PUEBLO,87679,PUEBLO - (BROWN) KS BOX,200,14000,10800,6800,12,12,8,2147,1798.6,1220.6
Germany,Munich,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,400,303600,351200,324800,12,12,12,70963.1,86452.2,85458.8
Germany,Hamburg,PMI,MARLBORO,123064,MARLBORO - GOLD (3.5) 100's BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,128800,108200,264200,12,12,12,37931.6,33480.9,84411.9
Japan,Fukuoka,JTI,MEVIUS,88963,MEVIUS - SUPER LIGHTS 6 KS SOFT,200,179800,1329600,1870200,12,12,12,3506100,25927200,36468900
Mexico,Acapulco,PMI,MARLBORO,125087,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - GENERIC DF-ENG TXT,200,0,200,0,0,1,0,0,40,0
Turkey,Antalya Airport,IMPERIAL BRANDS,LAMBERT & BUTLER,43914,LAMBERT & BUTLER - LIGHTS KS BOX,200,221800,950000,1277000,3,12,12,37437.1,193696.4,285000.35
Spain,Barcelona,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,200,780000,849400,779200,12,12,12,145860,209538.36,243988.08
Vietnam,Danang,PMI,MARLBORO,115509,MARLBORO - SPLASH MEGA MENTHOL KS BOX C BEH JUMBO WHITE - INDOCHINA DF,200,423600,0,0,9,0,0,55068,0,0
Morocco,Al Hoceima,JTI,WINSTON,54249,WINSTON - LIGHTS 100's BOX SUPERSLIMS,200,141,233,218,9,12,12,21.855,36.115,33.79
Poland,Lublin,PMI,L&M,125049,L&M - BLUE LABEL (5.0 CWB) KS RCB TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,20,118800,0,0,10,0,0,87055.2,0,0
Norway,Oslo,PMI,MARLBORO,121108,MARLBORO - DOUBLE BURST (2.0) MENTHOL KS BOX C WHITE - NORWAY DF - IDM NORWAY,200,1546200,1440800,1550800,12,12,12,4862799,4891516,5453186
Greece,Aktio,IMPERIAL BRANDS,RICHMOND,53131,RICHMOND - (BLUE) 100's SOFT,200,0,11400,0,0,3,0,0,2223,0
Spain,Sevilla,IMPERIAL BRANDS,JOHN PLAYER SPECIAL,51575,JOHN PLAYER SPECIAL - BLUE KS BOX,200,52000,32600,15400,12,12,12,9074,7580.25,4585.83
Germany,Duesseldorf,PMI,MARLBORO,125052,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,965200,493800,0,12,11,0,279425.4,150755.1,0
Dominican Republic,Puerto Plata,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,400,4800,0,0,5,0,0,756,0,0
China,Harbin Taiping,BAT,KENT,55423,KENT - NANOTEK NEO KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,0,838,120,0,7,1,0,502.8,72
Spain,Palma De Mallorca,PMI,MARLBORO,122496,MARLBORO - GOLD (3.5) KS RCB - SPAIN DF - IDM SPAIN,200,3219000,3116200,3685200,12,12,12,724886.1,750225.15,982487.1
Peru,Lima,PMI,MARLBORO,142119,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,0,0,662400,0,0,11,0,0,104546
Taiwan,Taipei - Taoyuan,JTI,MEVIUS,96437,MEVIUS - FOUR FLAVOR MENTHOL OPTION MENTHOL KS RCB C,200,283086,1656628,2206939,12,12,12,1004955.3,6018770.65,8386368.2
Morocco,Rabat,IMPERIAL BRANDS,DAVIDOFF,103408,DAVIDOFF - MAGENTA KS OCTAGONAL PACK SUPERSLIMS,200,0,0,13709,0,0,9,0,0,2193.44
South Korea,Jeju,KT & G,RAISON,95025,RAISON - SUN PRESSO KS BOX C,200,1698000,1413000,1099600,12,12,12,246247,205570,160103
Norway,Oslo,BAT,KENT,60362,KENT - SURROUND (GREEN) MENTHOL KS RCB,200,296600,213600,476200,6,5,11,874517,703812,1675939
China,Beijing,PMI,MARLBORO,105690,MARLBORO - (RED FWD) KS BOX - CHINA DF - IDM CN05 SUNRISE DF (RS),200,127200,5681400,12151600,9,11,12,97760.74,4374678,9980612
Turkey,Diyarbakir Airport,PMI,PARLIAMENT,70904,PARLIAMENT - NIGHT BLUE 100's SOFT WHITE - TURKEY DF,200,33200,36800,19000,9,12,7,3154,3496,1805
Turkey,Istanbul Asia Airport,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,400,232400,177600,173600,12,12,12,36603,30364.5,32637
Norway,Bergen,BAT,KENT,60362,KENT - SURROUND (GREEN) MENTHOL KS RCB,200,55800,41000,99000,6,5,11,163791,135095,349065
Norway,Trondheim,BAT,PRINCE,51463,PRINCE - RICH TASTE 100's BOX,100,0,10300,27100,0,5,11,0,34968.5,95481.48
Spain,Ibiza,BAT,VOGUE,50571,VOGUE - LILAS 100's BOX SLIMS,200,99200,107000,100200,11,10,10,23609.6,28890,29759.4
Indonesia,Ngurah Rai,JTI,SOBRANIE,48709,SOBRANIE - BLACK RUSSIAN 100's BOX,200,15200,0,0,7,0,0,,0,0
Jordan,Amman,PMI,MARLBORO,100078,MARLBORO - (RED FWD) KS BOX JUMBO - JORDAN DF,200,1174000,1564200,805400,12,12,8,184692,257392.5,134904.5
Germany,Hannover,PMI,MARLBORO,122366,MARLBORO - (RED FWD) 100's BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,25400,0,0,12,0,0,7480.3,0,0
Ireland,Dublin,IMPERIAL BRANDS,LAMBERT & BUTLER,45980,LAMBERT & BUTLER - WHITE KS BOX,200,1229800,1530200,1383000,12,12,12,154080,492689,463305
Egypt,Hurgada,PMI,MARLBORO,122221,MARLBORO - DOUBLE FUSION PURPLE MENTHOL KS RCB C TRU JUMBO RC WHITE - JORDAN DF,200,2070600,1643802,0,11,11,0,342813,280871.35,0
Great Britain,Bristol,PMI,MARLBORO,125044,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,200,336800,594200,580800,8,12,12,101040,181038.89,185705
Great Britain,London Stansted,JTI,SILK CUT,46016,SILK CUT - SILVER KS BOX,200,332000,372200,326000,12,12,12,106240,127392.7,126601
Jordan,Amman,BAT,VOGUE,104076,VOGUE - CLIC BLEUE 100's BOX C SUPERSLIMS,200,445400,411200,469600,12,12,12,70164,66089,76038.98
Germany,Duesseldorf,PMI,MARLBORO,125039,MARLBORO - GOLD (3.5) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,1052200,0,0,12,0,0,304611.9,0,0
Turkey,Dalaman Airport,IMPERIAL BRANDS,REGAL,44605,REGAL - KS BOX,200,218200,160600,0,9,9,0,48786.9,36857.7,0
Switzerland,Geneva,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,400,48800,68400,69600,12,12,12,11521.2,16125.3,16408.2
India,Anna,BAT,UNDEFINED,0,UNDEFINED,0,23439,28808,0,3,2,0,0,0,0
Serbia,Belgrade,KARELIA TOBACCO,OME,103403,OME - MENTHOL MENTHOL 100's BOX SUPERSLIMS,200,155600,248400,305800,12,12,12,25674,44712,57546.4
Egypt,Marsa Aalam,BAT,LUCKY STRIKE,43972,LUCKY STRIKE - KS BOX,400,12054,5322,0,12,6,0,1382.190775,610.440025,0
South Korea,Seoul,KT & G,THIS,96340,THIS - AFRICA RULA KS OCTAGONAL PACK C,200,16800,232400,239000,11,12,12,2510,34860,35850
Morocco,Agadir,BAT,PALL MALL,51685,PALL MALL - (BLUE) KS BOX,200,110989,178188,256737,12,12,12,12399.845,19385.44,27880.285
China,Wenzhou Longwan,BAT,STATE EXPRESS 555,47026,STATE EXPRESS 555 - INTERNATIONAL 100's BOX,200,47,860,1484,4,12,12,35.25,645,1113
Ethiopia,Addis Ababa,CHINA NATIONAL,UNDEFINED,0,UNDEFINED,0,6339405,10723827,2007055,12,12,4,0,0,0
South Korea,Busan - Kimhae,KT & G,THE ONE,52616,THE ONE - KS OCTAGONAL PACK,200,289800,1276800,1607600,12,12,12,42608.39,189102.58,239134.6
Brazil,Belo Horizonte,PMI,L&M,123639,L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,6400,5400,4400,10,11,8,832,756,656
South Korea,Incheon,BAT,KENT,55713,KENT - SWITCH MENTHOL KS RCB C,200,73800,0,0,9,0,0,9963,0,0
United Arab Emirates,Dubai,PMI,L&M,122927,L&M - RED LABEL (5.0 CWB) KS RCB 600 TRANSPARENT BUNDLE - UAE DF,600,0,0,1356000,0,0,12,0,0,166028.64
South Korea,Incheon,KT & G,RAISON,123078,RAISON - FRENCH CLEO MENTHOL KS BOX C,200,1357000,2844800,3707800,12,12,12,201961,426720,556170
Turkey,Dalaman Airport,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,600,40200,24000,0,7,6,0,6177,3840,0
China,Shanghai Pudong,IMPERIAL BRANDS,DAVIDOFF,57669,DAVIDOFF - SILVER 100's BOX SUPERSLIMS,200,260372,1855955,2445648,10,12,12,213505.04,1521883.1,2005431.36
France,Marseille,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,400,107600,101600,78400,12,12,12,23134,24079,23503.6
Turkey,Antalya Gazipasa Airport,IMPERIAL BRANDS,DAVIDOFF,88459,DAVIDOFF - CLASSIC KS BOX,600,0,0,4800,0,0,7,0,0,864
Trinidad and Tobago,Piarco,JTI,NATURAL AMERICAN SPIRIT,54462,NATURAL AMERICAN SPIRIT - (YELLOW) KS BOX,200,11800,0,0,8,0,0,1475,0,0
Turkey,Antalya Airport,PMI,MARLBORO,122870,MARLBORO - TOUCH BLUE 2.0 KS  600 SLIMS WHITE - TURKEY DF,600,1231200,0,0,8,0,0,187178,0,0
Brazil,Belo Horizonte,JTI,CAMEL,43011,CAMEL - KS BOX,200,2600,9000,2400,4,8,5,344.5,1305,348
Aruba,Oranjestad,PMI,MARLBORO,125087,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - GENERIC DF-ENG TXT,200,0,52800,84800,0,7,12,0,12408,20068.88
Turkey,Istanbul Airport,JTI,CAMEL,43011,CAMEL - KS BOX,400,2110800,1810400,0,12,9,0,301629,272531.2,0
Uganda,Entebbe,PMI,MARLBORO,123412,MARLBORO - DOUBLE MIX MIX KS RCS C JUMBO RC WHITE - GENERIC DF-ENG TXT,200,39576,119508,245977,7,12,12,4947,14938.5,30747.125
Egypt,Cairo,PMI,L&M,104945,L&M - SILVER BLUE LABEL(4.0) KS RCB WHITE - EG05 NEW TEXT HW DF,200,3233400,1858000,0,12,12,0,355674,208641.67,0
Morocco,Casablanca,BAT,BENSON & HEDGES,42846,BENSON & HEDGES - GOLD KS BOX,400,23600,29709,105718,6,3,12,2891,4010.715,14266.93
China,Yantai Penglai,BAT,STATE EXPRESS 555,52627,STATE EXPRESS 555 - (YELLOW) KS BOX,200,1581,2800,3267,12,12,10,960.425,1661.575,2041.875
Morocco,Oujda,JTI,WINSTON,53483,WINSTON - BLUE KS RCB,600,142950,183347,142832,11,12,12,17392.25,22307.218333333,17377.893333333
Great Britain,Norwich,PMI,MARLBORO,125037,MARLBORO - (RED FWD) KS RCB TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,200,4400,7000,6400,8,7,7,1320,2123.96,2048
Turkey,Istanbul Airport,BAT,PALL MALL,56918,PALL MALL - (RED) KS RCB,600,337200,233400,0,12,9,0,40542,29971.5,0
Morocco,Agadir,BAT,BENSON & HEDGES,58737,BENSON & HEDGES - SPECIAL FILTER KS BOX,400,89316,146711,173584,9,12,12,12057.66,20141.91,24223.71
Mexico,Guadalajara,PMI,MARLBORO,114359,MARLBORO - (GOLD 3.0) KS RCB WHITE - LA&CANADA DF-ENG TXT,200,263200,169000,0,12,7,0,43428,31100,0
China,Hefei Xinqiao,JTI,MILD SEVEN,46248,MILD SEVEN - ONE KS BOX,200,0,24456,54589,0,10,6,0,17154.3,39577.025
Egypt,Sharm El Sheikh,PMI,MARLBORO,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,0,784540,0,0,12,0,0,119634
Ghana,Accra,BAT,VOGUE,51103,VOGUE - LILAS 100's BOX SUPERSLIMS,200,17000,36400,58800,6,12,12,0,5369.94,8726.06
China,Xian Xianyang,BAT,KENT,51949,KENT - BLUE FUTURA KS RCB,200,10649,57981,60972,6,11,12,6389.4,34788.6,36583.2
Brazil,Brasilia,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,600,6000,7200,17400,7,4,11,600,888,2146
Turkey,Antalya Airport,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,400,1646800,1617600,1536800,12,12,12,262109.29,289210,287291
Mexico,Cancun,BAT,LUCKY STRIKE,99175,LUCKY STRIKE - DOUBLE CLICK WILD KS BOX C,600,0,0,34200,0,0,10,0,0,7281.43
South Korea,Incheon,JTI,MEVIUS,94993,MEVIUS - SUPER LIGHTS KS RCB,200,1732000,4763400,5161800,12,12,12,251018,690693,748461
France,Marseille,BAT,VOGUE,51103,VOGUE - LILAS 100's BOX SUPERSLIMS,400,182800,197600,103600,12,12,12,43186.5,51675.1,29794.6
Great Britain,London Luton,JTI,MAYFAIR,46686,MAYFAIR - SKY BLUE KS BOX,600,156600,312000,585600,12,12,12,29232,69705.78,130572.07
Brazil,Viracopos,JTI,STERLING,44907,STERLING - SUPERKINGS MENTHOL 100's BOX,400,1200,2400,0,2,5,0,149.04,313.08,0
Oman,Muscat,JTI,UNDEFINED,0,UNDEFINED,0,5249843,5632116,5771466,12,12,12,0,0,0
Morocco,Marrakech,IMPERIAL BRANDS,DAVIDOFF,70865,DAVIDOFF - (WHITE) KS BOX,200,361295,220981,220637,12,12,12,57958.235,35993.65,35301.92
Turkey,Istanbul Airport,IMPERIAL BRANDS,DAVIDOFF,45962,DAVIDOFF - GOLD 90's OCTAGONAL PACK,400,1112800,883200,0,12,9,0,178394,147924,0
Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,53129,DAVIDOFF - CLASSIC KS OCTAGONAL PACK,200,215000,107400,179200,12,12,12,26826.2,13434.6,22296.7
Germany,Munich,IMPERIAL BRANDS,GAULOISES,45969,GAULOISES - BLONDES (BLUE) KS BOX,200,122400,144400,156400,12,12,12,34339.4,42081.8,47874.8
Egypt,Alexandria,PMI,L&M,123649,L&M - BLUE LABEL (5.0 CWB) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT,400,224167,259822,245098,4,12,12,21556.365,26785.66125,25828.425
Dominican Republic,Santo Domingo Las Americas,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,400,15600,153200,56000,3,12,12,2223,20185.58,10022.5
Turkey,Antalya Airport,IMPERIAL BRANDS,SUPERKINGS,44939,SUPERKINGS - MENTHOL 100's BOX,200,277200,0,0,9,0,0,51956.79,0,0
Jamaica,Montego Bay,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,400,22000,31600,47200,6,9,10,3905,6050,9471.95
Brazil,Natal,PMI,MARLBORO,104519,MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,200,2000,4000,0,3,4,0,299.5,640,0
Brazil,Rio de Janeiro,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,600,87600,195600,204000,11,12,12,7884,22494,23460
Argentina,Buenos Aires Aeroparque,PMI,PHILIP MORRIS,122237,PHILIP MORRIS - (RED) KS  400 - ARGENTINA DF,400,103600,0,0,6,0,0,9583,0,0
Cape Verde,Rabil,PMI,MARLBORO,114700,MARLBORO - (GOLD 3.0) KS RCB 600 SPECIAL OUTER - AFRICA DF-ENG TXT,600,390000,506400,0,9,12,0,43875,60519,0
Great Britain,Manchester,BAT,BENSON & HEDGES,45433,BENSON & HEDGES - KS BOX,400,1600000,1974800,1943200,12,12,12,404000,513013.07,552152
France,Bordeaux,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,156600,114600,87000,12,12,12,37584,37027.34,30731.7
Mexico,Guadalajara,PMI,MARLBORO,104440,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,200,103200,62800,0,5,3,0,17028,10837,0
Great Britain,Birmingham,JTI,SILK CUT,46016,SILK CUT - SILVER KS BOX,400,256800,325600,338400,12,12,12,66126,89429.95,105211
Switzerland,Geneva,PMI,MARLBORO,123956,MARLBORO - GOLD (3.5) KS RCB - ZONE 1 DF - IDM SWITZERLAND,200,2777800,2592800,2247000,12,12,12,785896.3,747115.8,658726.7
Turkey,Gaziantep Airport,JTI,WINSTON,54448,WINSTON - CLASSIC KS RCB,600,10800,7800,9000,8,7,6,1026,741,855
Mauritius,Port Louis,PMI,MARLBORO,99009,MARLBORO - (RED FWD) KS BOX - MAURITIUS DF,200,3696199,11705680,6686033,12,12,7,699130.69,2224079.2,1289667.105
Germany,Hannover,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,400,32000,26000,53200,7,5,11,7352,6233.5,13818.7
China,Nanchang Changbei,BAT,KENT,51949,KENT - BLUE FUTURA KS RCB,200,0,1925,620,0,9,7,0,1155,372
Japan,Chubu,PMI,MARLBORO,95631,MARLBORO - (RED FWD) KS SOFT - JAPAN DF,200,126800,137000,248800,12,12,11,2707180,2924950,5311880
Saudi Arabia,RIYADH,IMPERIAL BRANDS,WEST,46754,WEST - BLUE KS BOX,400,2105200,1934400,1642400,11,12,10,0,357841.74,328918.47
China,Xian Xianyang,BAT,DUNHILL,54825,DUNHILL - GOLD KS BOX,200,133,740,741,6,11,12,76.475,425.5,426.075
Saudi Arabia,RIYADH,BAT,BENSON & HEDGES,58737,BENSON & HEDGES - SPECIAL FILTER KS BOX,200,310200,734600,0,3,4,0,0,271295.5,0
Mexico,Acapulco,R.J. REYNOLDS,NATURAL AMERICAN SPIRIT,49916,NATURAL AMERICAN SPIRIT - (YELLOW) KS SOFT,200,600,1600,0,2,5,0,107.32,365,0
Poland,Wroclaw,PMI,L&M,124289,L&M - BLUE LABEL (5.0 CWB) KS RCB 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,1267600,5109200,6332800,11,12,12,858183,3704170,4637620
Turkey,Cukurova Airport,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,400,0,0,14000,0,0,5,0,0,2518.71
China,Wuxi Shuofang,JTI,CAMEL,43011,CAMEL - KS BOX,200,0,1865,3599,0,9,6,0,1025.75,1979.45
Australia,Brisbane,PMI,ALPINE,108323,ALPINE - FINE MENTHOL FRM MENTHOL KS BOX 25 TRANSPARENT BUNDLE PRL - AUSTRALIA DOM,200,12200,22400,0,7,11,0,8296,16519,0
Brazil,Florianopolis,R.J. REYNOLDS,NATURAL AMERICAN SPIRIT,49916,NATURAL AMERICAN SPIRIT - (YELLOW) KS SOFT,200,0,400,0,0,1,0,0,60,0
Mexico,Cancun,BAT,DUNHILL,87891,DUNHILL - FINE CUT BURGUNDY KS BOX,200,42600,0,0,10,0,0,8094,0,0
Morocco,Tangier,BAT,BENSON & HEDGES,42846,BENSON & HEDGES - GOLD KS BOX,600,30600,174000,201000,7,7,12,3111,20025.29,23909.81
Brazil,Rio de Janeiro,BAT,PALL MALL,53263,PALL MALL - (RED) KS BOX,200,13800,400,0,10,1,0,1794,54,0
Morocco,Rabat,PMI,MARLBORO,113639,MARLBORO - (GOLD 3.0) KS RCB 400 - NORTH AFRICA DF,400,1102800,1348400,1840000,11,12,12,184591.5,224049.56,302167.73
Japan,Osaka - Kansai,JTI,MEVIUS,88925,MEVIUS - EXTRA LIGHTS KS SOFT,200,279200,2221200,3201800,12,12,12,5444400,43313400,62435100
Russia,Moscow - Domodedovo,BAT,KENT,53002,KENT - BLUE FUTURA 8 KS RCB,200,42400,0,0,8,0,0,6572,0,0
Turkey,Bodrum Airport,IMPERIAL BRANDS,R1,49944,R1 - (BLUE) KS BOX,200,44600,43800,34400,7,8,7,9525.7,9614.1,7550.8
Mexico,Guadalajara,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,19600,21400,25800,9,8,12,3234,3958,5144
Georgia,Tbilisi,BAT,DUNHILL,50854,DUNHILL - (RED) KS BOX,200,33800,0,0,7,0,0,5239,0,0
Canary Islands,Lanzarote,BAT,ROTHMANS,46008,ROTHMANS - (BLUE) KS BOX,200,301000,0,0,6,0,0,36120,0,0
Dominican Republic,Punta Cana - Higuey,BAT,LUCKY STRIKE,51261,LUCKY STRIKE - ORIGINAL SILVER KS BOX,200,99800,2200,400,10,5,1,18962,418,76
United Arab Emirates,Dubai,BAT,DUNHILL,50827,DUNHILL - (GOLD) KS BOX,600,2477400,3089400,1725000,12,12,12,315414.31,428308.35,259176.9
Malaysia,Kuala Lumpur,BAT,DUNHILL,50854,DUNHILL - (RED) KS BOX,200,0,11160000,12205000,0,12,11,0,6600278.5,7558258.5
Greece,Corfu,KARELIA TOBACCO,KARELIA,53140,KARELIA - BLUE KS RCB,200,134200,200800,175600,9,8,9,16791,25100,21950
United Arab Emirates,Dubai,BAT,VOGUE,47618,VOGUE - MENTHOL KS BOX,600,4441200,5778000,5602800,12,12,12,660036.34,905605.82,949342.23
France,Lyon Saint Exupery,PMI,CHESTERFIELD,121898,CHESTERFIELD - ORIGINAL RED KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,27600,46400,58200,11,12,12,8200,15587.6,20559.9
Great Britain,Newcastle,PMI,MARLBORO,125037,MARLBORO - (RED FWD) KS RCB TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,200,54200,64000,57200,8,12,12,16260,19647.17,18278
Spain,Alicante,JTI,SUPERKINGS,70127,SUPERKINGS - BLACK 100's BOX,200,1335000,0,0,12,0,0,289695,0,0
United Arab Emirates,Dubai,IMPERIAL BRANDS,DAVIDOFF,52524,DAVIDOFF - (WHITE) 90's OCTAGONAL PACK,400,3277200,3612400,3345600,12,12,12,472283.88,534897.79,520934.75
China,Xiamen Gaoqi,JTI,SEVEN STARS,50060,SEVEN STARS - LIGHTS KS SOFT,200,4848,28594,31954,12,12,12,2908.8,17156.4,19172.4
United Arab Emirates,Dubai,PMI,MARLBORO,125573,MARLBORO - RED 3.5 KS BOS 400 TRANSPARENT BUNDLE - UAE DF,400,17779600,14976800,19604400,12,12,12,2688557.58,2445301.9,3674720.97
South Africa,Johannesburg,BAT,ROTHMANS,45806,ROTHMANS - SPECIAL MILD KS BOX,200,150000,0,0,12,0,0,60620.93,0,0
Israel,Tel-Aviv,JTI,WINSTON,45377,WINSTON - BALANCED BLUE KS BOX,200,43477269,53329997,42880359,12,12,10,10195419.5805,12736981.5265,10749473.7055
Poland,Gdansk,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,200,649800,446400,355200,12,12,12,415872,364364,311213.76
Mexico,Mexico City,JTI,MAYFAIR,46686,MAYFAIR - SKY BLUE KS BOX,200,10200,9000,3200,12,11,7,1734,1629.3,577.67
Jordan,Aqaba,JTI,GLAMOUR,59451,GLAMOUR - MENTHOL MENTHOL 100's BOX SUPERSLIMS,200,22400,4600,2000,7,3,5,3292,701.5,310
Taiwan,Everrich Downtown Kinmen,JTI,GLAMOUR,54970,GLAMOUR - MENTHOL 100's BOX SUPERSLIMS,200,1609206,2745491,1643403,12,12,11,5954062.2,10158316.7,6080591.1
Turkey,Antalya Airport,IMPERIAL BRANDS,DAVIDOFF,49888,DAVIDOFF - WHITE 100's OCTAGONAL PACK SUPERSLIMS,200,256600,64400,70400,12,12,12,47217.2,13499,15518
Morocco,Casablanca,JTI,WINSTON,53483,WINSTON - BLUE KS RCB,400,103233,335811,585868,11,12,12,14968.785,48692.595,86109.86
Ecuador,Guayaquil,JTI,CAMEL,67982,CAMEL - ACTIVATE KS BOX C,200,29200,11600,22000,12,12,12,4380,2088,4180
Turkey,Izmir Airport,POESCHL TABAK,PUEBLO,87679,PUEBLO - (BROWN) KS BOX,400,40000,38800,0,12,12,0,5900,5881,0
China,Chongqing Jiangbei,JTI,MORE,45387,MORE - KS BOX,200,497,9081,9780,12,12,4,196.315,3586.995,3863.1
Turkey,Antalya Airport,BAT,KENT,101267,KENT - MIX AROMA KS RCB C,600,461400,0,0,9,0,0,72290.03,0,0
Ghana,Accra,BAT,DUNHILL,47577,DUNHILL - INTERNATIONAL KS BOX,200,27200,27600,12400,12,12,6,0,4881.3,2404.27
Great Britain,London Heathrow,JTI,SOVEREIGN,44887,SOVEREIGN - KS BOX,400,0,52000,142800,0,5,12,0,10735.3,30302.97
Russia,Moscow - Domodedovo,PMI,L&M,121992,L&M - BLUE LABEL KS RCB WHITE - RUSSIA DF - IDM RUSSIA,200,46800,0,0,10,0,0,4212,0,0
Germany,Hannover,PMI,MARLBORO,124179,MARLBORO - GOLD (3.5) KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,400,192000,265200,310400,12,12,12,46992,69798.7,85282.4
