DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
Spain,Gerona,JTI,STERLING,61078,STERLING - (RED) KS BOX,200,68200,59600,71600,7,8,9,12037.3,14628.31,22095.5
China,Fuzhou Changle,BAT,LUCKY STRIKE,46496,LUCKY STRIKE - MENTHOL KS BOX,200,244,4822,2530,9,11,4,146.4,2893.2,1518
Ghana,Accra,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,108600,203400,309600,8,12,12,13484.5,25315.86,38662.6
Morocco,Tangier,BAT,VOGUE,68664,VOGUE - (BLUE) 100's L-STICK ROUND CORNER BOX SUPERSLIMS,400,85854,273504,417368,7,12,12,13522.005,43076.88,65735.46
Italy,Florence,PMI,L&M,125728,L&M - RED LABEL (NON TRAVEL) KS RCB TRANSPARENT BUNDLE - ITALY DF - IDM ITALY,200,4200,0,0,4,0,0,899.9,0,0
Poland,Wroclaw,PMI,MARLBORO,153169,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - ENGLISH GHW TPD2 DF - IDM POLAND,600,0,0,9600,0,0,1,0,0,7680
Malaysia,Penang,PMI,MARLBORO,113920,MARLBORO - (GOLD 3.0) KS BOS WHITE - MALAYSIA DF,200,74800,0,0,6,0,0,41514,0,0
China,Xian Xianyang,IMPERIAL BRANDS,DAVIDOFF,57669,DAVIDOFF - SILVER 100's BOX SUPERSLIMS,200,13296,72394,76124,6,11,12,7977.6,43436.4,45674.4
Maldives,Male,PMI,L&M,90785,L&M - RED LABEL KS RCB - SOUTH ASIA DF,200,4163,16655,0,1,4,0,499.56,2061.055,0
Great Britain,Glasgow,IMPERIAL BRANDS,LAMBERT & BUTLER,96896,LAMBERT & BUTLER - BLUE KS BOX,200,193400,218000,266200,12,12,12,46416,53516.12,71421.14
China,Hangzhou Xiaoshan,KT & G,ESSE,52455,ESSE - (BLUE) 100's BOX SUPERSLIMS,200,22285,716738,1285863,8,12,12,12813.875,412592.35,739371.225
Jordan,Aqaba,IMPERIAL BRANDS,DAVIDOFF,70865,DAVIDOFF - (WHITE) KS BOX,400,26400,15600,10400,8,9,12,3835.5,2262,1633
Turkey,Dalaman Airport,IMPERIAL BRANDS,WEST,46023,WEST - RED KS BOX,400,78000,75200,0,8,7,0,12177,12219,0
Spain,Gerona,IMPERIAL BRANDS,SUPERKINGS,46019,SUPERKINGS - BLUE 100's BOX,200,29800,92800,106200,8,10,11,6466.6,26235,36453.68
Turkey,Ankara Airport,BAT,BENSON & HEDGES,45433,BENSON & HEDGES - KS BOX,200,8400,8600,11800,10,10,5,1589.8,1854.7,2649.1
Moldova,Chisinau,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,200,157200,0,0,5,0,0,19257,0,0
Great Britain,East Midlands,JTI,SILK CUT,46016,SILK CUT - SILVER KS BOX,400,58800,112000,103600,12,12,12,15141,31150.05,32298
Greece,Santorini,KARELIA TOBACCO,KARELIA,53451,KARELIA - SLIMS (BLUE) 100's BOX SLIMS,200,22400,18400,39800,5,4,7,3248,2601.91,5988.65
Turkey,Diyarbakir Airport,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,400,2000,1200,2400,4,3,5,110,66,132
Sri Lanka,Colombo,OTHER LOCAL TMO IND.,UNDEFINED,0,UNDEFINED,0,19170,2689,1136,11,5,3,0,0,0
Caribbean Other,Basseterre (Saint Kitts),PMI,MARLBORO,95487,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C JUMBO WHITE - LA&CANADA DF-ENG TXT,200,12357,0,0,10,0,0,2073.14505,0,0
Germany,Stuttgart,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,400,31200,37200,32000,8,12,12,6544.2,7802.7,6712
Great Britain,London Gatwick,IMPERIAL BRANDS,LAMBERT & BUTLER,45979,LAMBERT & BUTLER - GOLD KS BOX,400,11600,800,6400,11,2,2,2378,164,1520
Turkey,Cukurova Airport,PMI,PARLIAMENT,70904,PARLIAMENT - NIGHT BLUE 100's SOFT WHITE - TURKEY DF,200,0,0,10000,0,0,1,0,0,2121
Turkey,Kutahya Airport,PMI,MARLBORO,113756,MARLBORO - (GOLD 3.0) KS RCB 600 SPECIAL OUTER - TURKEY DF,600,4800,0,0,4,0,0,732,0,0
China,Ningbo Lishe,BAT,STATE EXPRESS 555,47026,STATE EXPRESS 555 - INTERNATIONAL 100's BOX,200,93,1256,670,6,12,5,69.75,942,502.5
Hong Kong,Hong Kong,PMI,MARLBORO,114265,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX WHITE - HK DF DEPARTURE,200,1028000,7515600,0,12,12,0,950900,7451530,0
