DF_Market,Location,CR_BrandId,$theyearbefore NOR,$previous_year NOR,$current_year NOR,$theyearbefore MC,$previous_year MC,$current_year MC
Turkey,Trabzon Airport,98190,0,1208.754692994,4852.971561619,0,1006.795692994,3977.864561619
Japan,Hiroshima,40827,0,0,960.964766692,0,0,841.476766692
Morocco,Fes,138525,0,15038.52727104,52924.596513732,0,12714.75527104,44804.530513732
Turkey,Dalaman Airport,70909,48254.568500196,165546.082015649,968106.732458622,41431.852500196,141175.797015649,835073.765458622
India,Netaji Subhash Chandra Bose Int. Airport,113637,494.158,5824.462,19900.972,429.854,5005.536,17056.615
Switzerland,Geneva,102904,0,187385.381449293,25798.877291252,0,164980.329449293,22972.102291252
South Korea,Cheongju,121994,0,2650.014,6435.142,0,2027.031,5296.119
Mexico,Cozumel,109139,1796.774,1395.88,6109.575,1674.989,1182.061,5226.263
Saudi Arabia,DAMMAM,125069,0,91818.936045341,877585.365721329,0,81620.432045341,782083.422721329
Turkey,Istanbul Asia Airport,122870,186730.478652183,184404.284246689,0,172596.341652183,153219.527246689,0
Brazil,Natal,104440,1015.907,878.567,0,918.478,665.681,0
Ecuador,Quito,139322,0,0,6685.062,0,0,5579.7
China,Hebei,105623,0,0,378.162,0,0,270.777
Bahrain,Manama,122939,49351.534,159998.783,1049273.424,44255.63,141567.425,935295.929
Bahrain,Manama,122897,79218.238,177262.109,700635.764,71403.058,158064.093,630069.759
Turkey,Ankara Airport,124808,0,4046.980036075,207730.324912701,0,3361.780036075,173140.150912701
Turkey,Gaziantep Airport,70908,3726.631809462,11136.069935088,0,3038.321809462,9059.733935088,0
Egypt,Cairo,,-28666,-68640,-257710,-28666,-68640,-257710
Germany,Dortmund,125532,0,8008.100582539,35421.769219078,0,7146.326582539,31612.957219078
Iraq,Baghdad,123394,766488,513606.474,4440144.256,664535.72,415482.665,3760328.773
Albania,Tirana,54964,70818.042905997,106150.82342908,134173.976645806,53743.992905997,80543.75142908,104162.999645806
France DP,Beauvais,122774,-717.314680963,95.036633076,46.692813229,-732.971680963,83.184633076,32.854813229
China,Nanjing Lukou,125149,0,0,8920.813,0,0,7038.387
Togo,Togo,123648,0,0,901.423,0,0,441.627
Israel,Ramon,123365,3341.08,36092.607,6140.548,2989.64,31871.346,5437.606
Dominican Republic,Puerto Plata,125087,0,1702.413,12603.466,0,1441.888,10600.286
India,Lucknow,142591,0,0,1309.685,0,0,1155.383
Turkey,Izmir Airport,114640,23389.6947376,45116.699921821,46393.381099919,19589.9707376,37482.155921821,38795.375099919
Germany,Dresden,124245,0,0,55186.921196805,0,0,47715.051196805
Turkey,Antalya Gazipasa Airport,146276,0,0,26874.633213954,0,0,23650.029213954
India,Mangalore,114978,0,0,0,0,0,0
Sri Lanka,Bandaranaike,139345,0,0,5667.657,0,0,4706.962
Turkey,Kutahya Airport,70907,563.120018251,127.172006485,23.929589534,514.817018251,103.573006485,19.724589534
China,Guangzhou Baiyun,110727,0,584.306,0,0,463.956,0
Argentina,Buenos Aires - Ezeiza,91748,35983.065,43074.574,0,26308.388,31636.729,0
China,Beijing,125151,0,10008.027,0,0,7730.12,0
China,Yanji Zhaoyangchuan,122801,0,0,0,0,-3.65,0
Egypt,Aswan,122798,0,0,1127.146,0,0,746.732
China,Qingdao Liuting,110723,24.618,-9.882,0,20.008,-37.367,0
India,Cochin,123515,0,0,51253.625,0,0,44524.677
Turkey,Adana Airport,124808,0,288.368933186,9.849982121,0,219.579933186,7.595982121
China,Xiamen Gaoqi,119256,0,-7.841,0,0,-48.422,0
China,Chongqing Jiangbei,105696,0,16.806,1.063,0,13.498,0.865
Oman,Muscat,122120,0,134260.503,0,0,117617.104,0
Iraq,Erbil International Airport,123514,0,210689.632,0,0,179073.302,0
Tajikistan,Dushanbe,114553,1251.898325526,0,0,1078.956325526,0,0
Mexico,Mexico City,102979,0,0,0,0,0,0
Russia,Ekaterinburg,122529,0,0,44.519921229,0,0,28.796921229
Turkey,Istanbul Asia Airport,141464,0,0,1637.823213916,0,0,1325.706213916
Mali,Bamako,142119,0,0,0,0,0,0
China,Shenyang Taoxian,113951,0,0,0,0,0,0
Jamaica,Montego Bay,90249,1390.55,0,0,1337.525,0,0
Belize,Belize City,95487,4052.448,12312.527,101061.651,3515.472,10456.536,85107.799
Morocco,Oujda,100605,166104.307844872,400570.629735509,359104.016353516,138353.262844872,331969.753735509,298043.597353516
Spain DP,Madrid Barajas,122499,125342.107683838,497100.519330123,1710115.0063801,107895.396683838,351298.765330123,1246809.9483801
Mexico,Cancun,139305,0,131434.361,3220814.449,0,111108.713,2741658.033
Morocco,Oujda,122222,3807.952506762,1965.665029777,0,3251.216506762,1641.315029777,0
Russia,Moscow - Domodedovo,121944,23120.192650699,43125.03974149,50465.175448717,20489.726650699,34186.31374149,41324.952448717
Japan,Chubu,119101,395.130339689,39334.395557943,174752.945421848,353.374339689,34733.390557943,151497.211421848
Turkey,Konya Airport,41979,30.221567243,240.478612585,1230.535731611,24.161567243,187.457612585,967.197731611
Jordan,Amman,104587,349261.689,746762.595,1929712.655,300635.913,639849.72,1660029.388
Mexico,Mexico City,125841,0,106095.322,1371174.332,0,81057.802,1059085.745
Mauritius,Port Louis,145068,0,0,2163906.76454826,0,0,1829382.68454826
Italy,Bologna,125682,0,1129.746764844,182881.924386344,0,-2580.941235156,153570.902386344
France,Bordeaux,122774,12522.987280778,40802.859936278,165349.891762248,11072.129280778,36042.881936278,147019.872762248
Sweden,Stockholm Arlanda,122410,19603.904809603,203905.824798711,217460.191835815,18399.962809603,176330.353798711,188535.884835815
Mexico,Cancun,114360,638673.899,1621179.591,0,589841.195,1339620.898,0
Bahrain,Manama,139322,0,61573.605,242487.775,0,53961.811,216006.11
China,Guangzhou Baiyun,124461,0,-40.5,0,0,-100.926,0
Barbados,Bridgetown,125835,0,1201.162,16896.738,0,1040.331,14494.53
Turkey,Gaziantep Airport,123073,0,591.678056777,4377.171234383,0,513.923056777,3704.015234383
Russia,Moscow - Vnukovo,86984,7376.716486225,296.607172755,0,6174.527486225,248.989172755,0
Poland,Rzeszow,124253,10209.135436451,38635.740630268,92798.425161265,8794.125436451,32547.498630268,80293.036161265
Great Britain,Cardiff,122749,7219.434979354,18771.250478752,64991.299364241,6749.688979354,15937.552478752,55895.339364241
Grenada,St. George's Point Saline,114359,2464.75,8214.5,0,2268.153,6863.211,0
Tanzania,Kilimanjaro,125840,0,462.576337976,17302.110967022,0,354.655337976,13254.367967022
Tunisia,Tozeur,125840,0,0,31220.793602885,0,0,26034.069602885
Canary Islands,La Palma,125168,28498.532814455,23038.832380874,0,26640.425814455,18400.320380874,0
Jamaica,Montego Bay,113618,38203.733,69899.801,108290.195,35202.635,58534.961,91001.471
Brazil,Brasilia,95487,689.366,1096.46,2759.218,623.254,844.428,2126.014
Italy,Florence,122502,3904.841398992,11206.436032434,33229.91333899,3656.051398992,9522.615032434,28307.74033899
