SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
ZHONG NAN HAI - FIVE KS BOX,200,56694,China,Beijing,CHINA NATIONAL
KENT - NANOTEK 2.0 (WHITE) KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,70640,Turkey,Izmir Airport,BAT
L&M - RED LABEL (5.0 CWB) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,125798,Germany,Frankfurt,PMI
L&M - RED LABEL (5.0 CWB) KS RCB 600 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT,600,123647,India,Bangalore,PMI
VOGUE - BLEUE 100's BOX SUPERSLIMS,200,51105,Italy,Rome Fiumicino,BAT
MARLBORO - RED 3.5 KS BOX - SPAIN DF - IDM SPAIN,200,125679,Spain DP,Santiago De Compostela,PMI
CAMEL - FILTER KS BOX,200,88440,Portugal,Madeira,JTI
L&M - BLUE LABEL (5.0 CWB) KS RCB (PROMO) - ENGLISH GHW TPD2 DF - IDM POLAND,200,146395,Poland,Katowice,PMI
LAMBERT & BUTLER - GOLD KS BOX,200,45979,Switzerland,Zurich,IMPERIAL BRANDS
LONGBEACH - FINE SILVER FRM KS BOX TRANSPARENT BUNDLE - AUSTRALIA DOM,200,103549,Australia,Perth,PMI
LONGBEACH - RICH BLUE FRM KS BOX TRANSPARENT BUNDLE - AUSTRALIA DOM,200,103505,Australia,Perth,PMI
MARLBORO - DOUBLE FUSION PURPLE KS RCB C WHITE - TURKEY DF,200,118916,Turkey,Cukurova Airport,PMI
MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - TURKEY DF,200,123834,Turkey,Kayseri Airport,PMI
ESSE - (GREEN) MENTHOL 100's BOX SUPERSLIMS,200,52454,Hong Kong,Hong Kong,KT & G
DAVIDOFF - GOLD KS BOX,600,88458,United Arab Emirates,Dubai,IMPERIAL BRANDS
WINSTON - CLASSIC KS BOX,600,54087,France DP,Paris Orly,JTI
MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,139307,Ecuador,Guayaquil,PMI
UNDEFINED,0,0,Egypt,Marsa Aalam,KARELIA TOBACCO
LUCKY STRIKE - CLICK 4 MIX KS BOX C,200,103220,Japan,Osaka - Kansai,BAT
UNDEFINED,0,0,India,Chattrapati Shivaji,KING'S TOBACCO
LAMBERT & BUTLER - WHITE KS BOX,200,45980,Portugal,Lisbon,IMPERIAL BRANDS
DAVIDOFF - (WHITE) KS BOX,400,70865,Saudi Arabia,DAMMAM,BAT
CAMEL - CRAFT 6 KS BOX,200,131411,Japan,Tokyo - Narita,JTI
RAISON - FRENCH BLACK KS BOX C,200,102693,Japan,Osaka - Kansai,KT & G
SUPERKINGS - LIGHTS 100's BOX,200,44940,India,Bangalore,IMPERIAL BRANDS
MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - ENGLISH GHW TPD2 DF - IDM GREECE,600,124134,Greece,Corfu,PMI
SUPERKINGS - 100's BOX,200,44938,Great Britain,Leeds Bradford,IMPERIAL BRANDS
SUPERKINGS - 100's BOX,200,44938,Great Britain,Glasgow,IMPERIAL BRANDS
MARLBORO - EXOTIC FUSION KS RCT C PSW SLIMS WHITE - TURKEY DF,200,138635,Turkey,Denizli Cardak Airport,PMI
PRINCE - ROUNDED TASTE KS BOX,200,51121,Germany,Frankfurt,BAT
WEST - RED KS BOX,200,46023,China,Xian Xianyang,IMPERIAL BRANDS
PARLIAMENT - SUPER SLIMS 100's BOX SUPERSLIMS JUMBO WHITE - RUSSIA DF - IDM RUSSIA,200,121944,Russia,Krasnoyarsk,PMI
CAMEL - (BLUE) KS BOX,400,45351,Sri Lanka,Colombo,JTI
CAMEL - ACTIVATE (BLUE) KS CURVE PACK C,600,91604,Morocco,Casablanca,JTI
THE KING - (RED) 100's RCB,200,100981,Bulgaria,Varna,KING'S TOBACCO
LAMBERT & BUTLER - KS BOX,400,43912,France DP,Nice,IMPERIAL BRANDS
UNDEFINED,0,0,Uganda,Entebbe,BAT
ESSE - GOLDEN LEAF SPECIAL EDITION 100's OTHER PACK TYPE SUPERSLIMS,200,56914,South Korea,Seoul (downtown),KT & G
CAMEL - BLUE KS BOX,200,52735,Kazakhstan,Astana,JTI
WINSTON - ONE KS BOX,200,45199,Italy,Palermo,JTI
CHESTERFIELD - ORIGINAL (4.0) KS BOX - GENERIC DF-ENG TXT,200,124032,Morocco,Ouarzazate,PMI
WINSTON - KS BOX,200,45182,China,Xiamen Gaoqi,JTI
HONGTASHAN - (WHITE) KS BOX,200,52193,China,Shanghai Pudong,CHINA NATIONAL
LUCKY STRIKE - ORIGINAL RED KS BOX,600,51260,Mexico,Mexico City,BAT
ROTHMANS - (BLUE) KS BOX,200,46008,Turkey,Gaziantep Airport,BAT
FURONGWANG - (BLUE) KS SOFT,200,52080,China,Taiyuan Wusu,CHINA NATIONAL
MARLBORO - (GOLD 3.0) KS RCB WHITE - LA&CANADA DF-ENG TXT,200,114359,Nicaragua,Managua,PMI
WEST - RED KS BOX,200,46023,Spain,Alicante,IMPERIAL BRANDS
DAVIDOFF - SLIMS LIGHTS 100's OCTAGONAL PACK SLIMS,200,48007,Greece,Aktio,IMPERIAL BRANDS
ROTHMANS - (BLUE) KS BOX,200,46008,Great Britain,Glasgow,BAT
MARLBORO - MINT CAPSULE MENTHOL KS BOS C WHITE - MALAYSIA DF,200,99973,Malaysia,Johor Bahru,PMI
NEWS,600,40461,Morocco,Fes,IMPERIAL BRANDS
MARLBORO - BLUE ICE (2.0) MENTHOL KS BOX C WHITE - SOUTH AFRICA DF,200,100017,Tanzania,Zanzibar,PMI
MEVIUS - OPTION KS RCB C,200,91512,China,Qingdao Liuting,JTI
GAULOISES - BLONDES LEGERES KS BOX,200,43534,China,Chengdu Tianfu,IMPERIAL BRANDS
THIS - AFRICA ICE JACK KS OCTAGONAL PACK C,200,109844,South Korea,Busan - Kimhae,KT & G
CAMEL - (YELLOW) KS BOX,200,49844,Russia,St. Petersburg Pulkovo,JTI
MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT,200,123512,Iraq,Erbil International Airport,PMI
WILLS NAVY CUT - FRESH MINT KS BOX C,200,124480,United Arab Emirates,Abu Dhabi,ITC Ltd.
PARISIENNE - JAUNE KS SOFT,200,52884,Switzerland,Basel,BAT
L&M - RED LABEL (NON TRAVEL) KS RCB - ITALY DF - IDM ITALY,200,121007,Italy,Bergamo,PMI
BENSON & HEDGES - SPECIAL FILTER KS BOX,400,58737,Grenada,St. George's Point Saline,BAT
FORTUNA - KS BOX,200,43467,Cape Verde,Rabil,IMPERIAL BRANDS
KENT - HD NAVY BLUE KS RCB,200,92353,Turkey,Konya Airport,BAT
LUCKY STRIKE,200,39729,Vietnam,Danang,BAT
L&M - BLUE LABEL (5.0 CWB) KS RCB WHITE - GENERIC DF-ENG TXT,200,123642,Saudi Arabia,RIYADH,PMI
WINSTON - LIGHTS 100's BOX SUPERSLIMS,200,54249,Morocco,Rabat,JTI
MARLBORO - TOUCH ONE KS RCS SLIMS WHITE - TURKEY DF,200,100977,Turkey,Gaziantep Airport,PMI
MARLBORO - (RED FWD) KS BOX - CES-EE-CA DF-ENG GHW,200,98179,Kazakhstan,Almaty,PMI
PRINCE - RICH TASTE KS BOX,200,51120,Germany,Cologne,BAT
ESSE,200,38297,Vietnam,Hanoi,KT & G
MARLBORO - (RED FWD) KS BOX - EGYPT DF - EGYPTAIR,200,100304,Egypt,Sphinx,PMI
DAVIDOFF - (WHITE) KS BOX,200,70865,United Arab Emirates,Abu Dhabi,IMPERIAL BRANDS
L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,139319,Egypt,Taba,PMI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Tunisia,Monastir,IMPERIAL BRANDS
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,Spain DP,Mahon Airport,BAT
MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,125837,Morocco,Agadir,PMI
CHUNGHWA - KS BOX,200,43087,France,Paris Charles De Gaulle,CHINA NATIONAL
GAULOISES - BLONDES (BLUE) KS BOX,600,45969,Turkey,Gaziantep Airport,IMPERIAL BRANDS
LAMBERT & BUTLER - KS BOX,400,43912,Grenada,St. George's Point Saline,IMPERIAL BRANDS
MARLBORO - DOUBLE MIX MIX KS RCS 600 C SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,123413,India,Indira Gandhi,PMI
BENSON & HEDGES - GOLD KS BOX,600,42846,Great Britain,London Luton,BAT
WINSTON - KS SOFT,200,45184,Morocco,Agadir,JTI
FORTUNA - ROJO KS BOX,200,56044,Canary Islands,La Palma,IMPERIAL BRANDS
MARLBORO - LUNA SHUFFLE MENTHOL KS RCS (PROMO) C MUL WHITE - GENERIC DF-ENG TXT,200,138965,Egypt,Luxor,PMI
KARELIA - BLUE 100's BOX,600,50236,Turkey,Gaziantep Airport,KARELIA TOBACCO
L&M - BLUE LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM CZECH REPUBLIC,200,123667,Czech Republic,Prague,PMI
DOUBLE HAPPINESS - (RED-GOLD) KS BOX,200,52061,China,Hohhot Baita,CHINA NATIONAL
L&M - RED LABEL 100's SOFT - TURKEY DF,200,41979,Turkey,Adana Airport,PMI
PRINCE - CLICK & BOOST KS BOX C,200,90087,Norway,Trondheim,BAT
PRINCE - WHITE KS BOX,200,46002,Norway,Stavanger,BAT
LAMBERT & BUTLER - WHITE KS BOX,200,45980,Kenya,Jomo Kenyatta,IMPERIAL BRANDS
STERLING - DUAL KS BOX C,600,99392,Morocco,Casablanca,JTI
MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,125841,Egypt,Asyut,PMI
PARLIAMENT - AQUA BLUE KS RCB WHITE - GENERIC DF-ENG TXT - ALTERNATIVE,200,125074,Caribbean Other,Basseterre (Saint Kitts),PMI
L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,200,157067,Egypt,Sphinx,PMI
DOUBLE HAPPINESS - SUPER MILD KS BOX,200,58266,China,Pengsheng,NANYANG BROTHERS
WINSTON - CLASSIC KS BOX,400,54087,Mexico,Ixtapa Zihuatanejo,JTI
WINSTON - BLUE KS BOX,400,54088,Mauritania,Nouakchott,JTI
CHESTERFIELD - ORIGINAL (4.0) KS BOX - ITALY DF - IDM ITALY,200,123372,Italy,Bari,PMI
PRINCE - RICH TASTE KS BOX,200,51120,Greece,Santorini,BAT
ESSE - (GREEN) MENTHOL 100's BOX SUPERSLIMS,200,52454,China,Pengsheng,KT & G
ZHONG NAN HAI - EIGHT KS BOX,200,55456,China,Ningbo Lishe,CHINA NATIONAL
DUNHILL - (BLUE) KS BOX,400,49364,Saudi Arabia,Jeddah,BAT
SOVEREIGN - KS BOX,400,44887,Great Britain,Exeter,JTI
STERLING - SUPERKINGS MENTHOL 100's BOX,400,44907,Brazil,Brasilia,JTI
MARLBORO - BLOSSOM FUSION MENTHOL KS RCS C CHI WHITE - GENERIC DF-ENG TXT,200,125312,Iraq,Baghdad,PMI
MARLBORO - (RED FWD) KS BOX - CHINA DF - IDM CN05 SHENZEN DF (SZ),200,105692,China,Weihai Dashuibo,PMI
L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE 1,200,139322,Mexico,Cozumel,PMI
UNDEFINED,0,0,Australia,Cairns,BAT
MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE WHITE - ZONE 1 DF - IDM SWITZERLAND,400,125565,Switzerland,Basel,PMI
MARLBORO - PREMIUM BLACK (FWD) KS RCS 100 100 JUMBO RC WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),100,119257,China,Guangzhou Baiyun,PMI
MEVIUS - SKY BLUE KS RCB,200,89726,South Korea,Jeju (downtown),JTI
PHILIP MORRIS - BLEUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,121200,France DP,Toulouse,PMI
CAMEL - BLUE KS BOX,200,52735,Great Britain,Aberdeen,JTI
SEVEN STARS - LIGHTS KS SOFT,200,50060,China,Guangzhou Baiyun,JTI
SUPERKINGS - KS BOX,200,46746,Hong Kong,Hong Kong,IMPERIAL BRANDS
CAMEL - (BLUE) KS BOX,600,45351,Mexico,Monterrey,JTI
DAVIDOFF - SLIMS LIGHTS 100's OCTAGONAL PACK SLIMS,200,48007,Armenia,Yerevan,IMPERIAL BRANDS
KENT - NANOTEK NEO KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,55423,China,Ningbo Lishe,BAT
STERLING - MENTHOL MENTHOL KS BOX,200,58605,Canary Islands,Lanzarote,JTI
MAYFAIR - KS BOX,400,44279,Great Britain,Glasgow,JTI
CAMEL - BLUE KS BOX,200,52735,Ecuador,Quito,JTI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Spain DP,Alicante,IMPERIAL BRANDS
L&M - RED LABEL (5.0 CWB) KS RCB 400 - EGYPT DF - EGYPTAIR,400,123029,Egypt,Cairo,PMI
MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCB C WRG WHITE - TURKEY DF,200,122704,Turkey,Samsun Airport,PMI
MARLBORO - WHITE (3.5) KS  600 SPECIAL OUTER WHITE - TURKEY DF,600,141464,Turkey,Ankara Airport,PMI
WEST - SILVER KS BOX,600,46755,Turkey,Izmir Airport,IMPERIAL BRANDS
DAVIDOFF - CLASSIC 90's OCTAGONAL PACK,200,43247,Turkey,Istanbul Asia Airport,IMPERIAL BRANDS
CAMEL - (BLUE) KS BOX,600,45351,Morocco,Oujda,JTI
CAMEL - ACTIVATE KS BOX C,200,67982,Mexico,Los Cabos,JTI
YU XI - (RED) KS BOX,200,53542,China,Guangzhou Baiyun,CHINA NATIONAL
MARLBORO - (RED FWD) KS BOX 25 TRANSPARENT BUNDLE - AUSTRALIA DOM,200,99584,New Zealand,Auckland,PMI
MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM GREECE,200,125450,Greece,Corfu,PMI
MARLBORO - GOLD (3.5) KS RCB - ENGLISH GHW TPD2 DF - IDM GREECE,200,123331,Greece,Mitilini,PMI
RAISON - ICEPRESSO KS BOX C,200,90969,South Korea,Seoul,KT & G
LAMBERT & BUTLER - KS BOX,600,43912,Morocco,Ouarzazate,IMPERIAL BRANDS
PARLIAMENT - SUPER SLIMS 100's BOX SUPERSLIMS WHITE - TURKEY DF,200,41603,Turkey,Istanbul Airport,PMI
SOBRANIE - WHITES 100's BOX SUPERSLIMS,200,53916,Russia,Moscow - Domodedovo,JTI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Turkey,Gaziantep Airport,IMPERIAL BRANDS
BENSON & HEDGES - GOLD KS BOX,200,42846,Spain DP,Malaga,BAT
STERLING - DUAL KS BOX C,400,99392,Turkey,Antalya Airport,JTI
WEST - RED KS BOX,600,46023,Turkey,Kayseri Airport,IMPERIAL BRANDS
MEVIUS - SUPER LIGHTS 6 100's RCB,200,88961,Japan,Tokyo - Narita,JTI
MEVIUS - ORIGINAL KS BOX,200,87831,Japan,Tokyo - Narita,JTI
MEVIUS - ONE KS BOX,200,106767,Japan,Chubu,JTI
MAYFAIR - KS BOX,200,44279,Great Britain,Glasgow Prestwick,JTI
MARLBORO - (GOLD 3.0) 100's SOFT - TURKEY DF,200,114829,Turkey,Cukurova Airport,PMI
MARLBORO - WHITE (3.5) KS RCS WHITE - TURKEY DF,200,137512,Turkey,Istanbul Asia Airport,PMI
MILD SEVEN - LIGHTS KS BOX,200,44119,China,Shanghai Pudong,JTI
DUNHILL - GOLD KS BOX,200,54825,China,Guangzhou Baiyun,BAT
MAYFAIR - KS BOX,600,44279,United Arab Emirates,Dubai,JTI
MARLBORO - PURPLE MENTHOL KS BOX C TRU WHITE - CHINA DF - CNSC(ZF),200,121385,China,Dalian Zhoushuizi,PMI
FIESTA - KS BOX TRANSPARENT BUNDLE WHITE - URUGUAY DF,200,122443,Uruguay,Montevideo,PMI
LAMBERT & BUTLER - BLUE KS BOX,200,96896,Morocco,Ouarzazate,IMPERIAL BRANDS
MARLBORO - GOLD (3.5) KS RCB WHITE - CHINA DF - IDM CN05 SUNRISE DF (RS),200,122859,China,Beijing,PMI
MARLBORO - SILVER BLUE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,123513,Egypt,Aswan,PMI
THE ONE - CHANGE 1MG KS OCTAGONAL PACK C,200,95177,South Korea,Busan - Kimhae,KT & G
MARLBORO - PURPLE BURST MENTHOL KS BOX C TRU WHITE - MALAYSIA DF,200,103615,Malaysia,Kota Kinabalu,PMI
DOUBLE HAPPINESS - KS BOX,200,46152,China,Nanjing Lukou,NANYANG BROTHERS
KENT - HD (WHITE) KS RCB,600,57752,Turkey,Bodrum Airport,BAT
LAMBERT & BUTLER - KS BOX,200,43912,Great Britain,London Luton,IMPERIAL BRANDS
DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,103412,China,Changsha Huanghua,NANYANG BROTHERS
SALEM - MENTHOL KS BOX,200,44768,China,Qingdao Liuting,JTI
LARK - MILDS KS BOX - JAPAN DF,200,40833,Japan,Hiroshima,PMI
DOUBLE HAPPINESS - CLASSIC DELUXE LS BOX,200,85873,China,Urumchi Diwobao,NANYANG BROTHERS
DAVIDOFF - KS BOX,200,43244,China,Zhengzhou Xinzheng,IMPERIAL BRANDS
MARLBORO - (RED FWD) KS BOX - NORTH AFRICA DF,200,100604,Morocco,Rabat,PMI
MARLBORO - (RED FWD) KS BOX - NORTH AFRICA DF,200,100604,Morocco,Ouarzazate,PMI
MARLBORO - (RED FWD) KS BOX - ENGLISH GHW TPD2 DF - IDM SWEDEN,200,120943,Sweden,Umea,PMI
BENSON & HEDGES - SPECIAL FILTER KS BOX,200,58737,Morocco,Agadir,BAT
STATE EXPRESS 555 - GOLD KS RCB,200,56499,Hong Kong,Hong Kong,BAT
MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU WHITE - GENERIC DF-ENG TXT,200,125084,Brazil,Salvador,PMI
CHUNGHWA - KS BOX,200,43087,China,Wenzhou Longwan,CHINA NATIONAL
LAMBERT & BUTLER - GOLD KS BOX,200,45979,Mexico,Mexico City,IMPERIAL BRANDS
WINSTON - BLUE KS BOX,600,54088,Brazil,Salvador,JTI
MARLBORO - (RED FWD) KS BOX 400 - CES-EE-CA DF-ENG TXT,400,95595,Armenia,Yerevan,PMI
LUCKY STRIKE - DOUBLE CLICK WILD KS BOX C,200,99175,Morocco,Agadir,BAT
WINSTON - CLASSIC KS BOX,400,54087,France,Paris Orly,JTI
DUNHILL - FINE CUT (BLUE) 90's OCTAGONAL PACK SLIMS,200,58199,South Korea,Cheongju,BAT
DUNHILL - SWITCH (BLACK - BLUE) KS OCTAGONAL PACK C,200,86714,Malaysia,Kuala Lumpur,BAT
STATE EXPRESS 555 - GOLD KS RCB,200,56499,South Korea,Daegu (downtown),BAT
MARLBORO - (GOLD 3.0) KS RCB 400 - EG05 NEW TEXT HW DF,400,113635,Egypt,Marsa Aalam,PMI
MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - GENERIC DF-ENG TXT,200,125087,Brazil,Salvador,PMI
BENSON & HEDGES - SPECIAL FILTER KS BOX,200,58737,Malaysia,Kuala Lumpur,BAT
MARLBORO - BLACK MENTHOL (2.0) MENTHOL KS BOX - JAPAN DF,200,114602,Japan,Tokyo - Shinjuku,PMI
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,Mexico,Cancun,BAT
MAYFAIR - KS BOX,200,44279,Greece,Kos,JTI
KENT - S SERIES 1 100's BOX SUPERSLIMS,200,91996,Japan,Tokyo - Narita,BAT
VOGUE - BLEUE 100's BOX SUPERSLIMS,400,51105,France,Paris Orly,BAT
DAVIDOFF - MENTHOL 90's BOX,200,47107,China,Nanning Wuxu,IMPERIAL BRANDS
MARLBORO - TOUCH 3.5 KS RCT SLIMS - SPAIN DF - IDM SPAIN,200,123084,Spain,Ibiza,PMI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Morocco,Casablanca,IMPERIAL BRANDS
NOBEL - KS BOX,200,44321,Spain DP,Palma De Mallorca,IMPERIAL BRANDS
DOUBLE HAPPINESS - KS BOX,200,46152,China,Pengsheng,CHINA NATIONAL
MARLBORO - DOUBLE MIX MIX KS RCS C JUMBO RC WHITE - GENERIC DF-ENG TXT,200,123412,Morocco,Casablanca,PMI
DAVIDOFF - CLASSIC KS OCTAGONAL PACK,200,53129,Kuwait,Kuwait,IMPERIAL BRANDS
MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - GENERIC DF-ENG TXT,200,139312,Brazil,Natal,PMI
REGAL - KS BOX,400,44605,Great Britain,Liverpool,IMPERIAL BRANDS
RICHMOND - SUPERKINGS 100's BOX,200,44644,Great Britain,Glasgow,IMPERIAL BRANDS
