IATA,PORT_CODE_ID,Airport,LOCATION_ID,Location,DF_Market
VGO,998,Vigo-Peinador Airport,4378,Vigo,Spain
KSU,490,"Kristiansund Airport, Kvernberget",3060,Kristiansund,Norway
JUB,4371,Juba Intl Airport,3600,Juba,South Sudan
KAO,464,Kuusamo Airport,366,Kuusamo,Finland
BLR,123,Kempegowda Intl Airport,66,Bangalore,India
CCU,171,Netaji Subhas Chandra Bose Intl Airport,494,Netaji Subhash Chandra Bose Int. Airport,India
MEL,591,Melbourne Airport,451,Melbourne,Australia
FRA,326,Frankfurt Airport,232,Frankfurt,Germany
CMF,203,Chambery-Savoie Airport,144,Chambery,France DP
LEI,520,Almeria Airport,32,Almeria,Spain DP
WMI,1506,Modlin Airport,3499,Warsaw-Modlin,Poland
TKU,932,Turku Airport,743,Turku,Finland
LYS,567,Lyon-Saint-Exupery Airport,616,Lyon Saint Exupery,France DP
BOM,133,Chhatrapati Shivaji Intl Airport,152,Chattrapati Shivaji,India
JJN,1229,Quanzhou Jinjiang Intl Airport,4343,Quanzhou,China
UIO,980,Mariscal Sucre Intl Airport,589,Quito,Ecuador
DJE,252,Djerba-Zarzis Intl Airport,313,Jerba,Tunisia
NWI,675,Norwich Intl Airport,3614,Norwich,Great Britain
HKD,1584,Hakodate Airport,275,Hakodate,Japan
SCO,1549,Aktau Airport,2876,Aktau,Kazakhstan
LHR,532,Heathrow Airport,284,London Heathrow,Great Britain
KIX,477,Kansai Intl Airport,329,Osaka - Kansai,Japan
GYD,1126,Heydar Aliyev Intl Airport,62,Baku,Azerbaijan
SVO,897,Sheremetyevo Intl Airport,472,Moscow - Sheremetyevo,Russia
AYT,74,Antalya Airport,40,Antalya Airport,Turkey
KRR,1151,Krasnodar Intl Airport (Pashkovsky Airport),359,Krasnodar,Russia
NYO,1058,Stockholm-Skavsta Airport,3097,Nykoping,Sweden
OUD,703,Angads Airport,536,Oujda,Morocco
GZP,1504,GazipaSa-Alanya Airport,2776,Antalya Gazipasa Airport,Turkey
NAJ,1410,Nakhichevan,2755,Nakhichevan,Azerbaijan
CTS,225,New Chitose Airport,159,Chitose,Japan
PAD,708,Paderborn/Lippstadt Airport,539,Paderborn,Germany
TOS,950,Tromso Airport,2826,Tromso,Norway
BSR,2372,Basra Intl Airport,3475,Basrah,Iraq
BOO,135,Bodo Airport,2822,Bodo,Norway
AKX,1789,Aktobe Airport,4024,Aktobe,Kazakhstan
AMM,47,Queen Alia Intl Airport,33,Amman,Jordan
HGH,384,Hangzhou Xiaoshan Intl Airport,2885,Hangzhou Xiaoshan,China
LIL,535,Lille Airport (Lille-Lesquin Airport),396,Lille,France
KWI,500,Kuwait Intl Airport,367,Kuwait,Kuwait
VIE,1000,Vienna Intl Airport,755,Vienna,Austria
JTR,459,Santorini (Thira) National Airport,638,Santorini,Greece
JJN,1229,Quanzhou Jinjiang Intl Airport,3580,Quanzhou Jinjiang,China
HUY,408,Humberside Airport,294,Humberside,Great Britain
MAA,569,Chennai Intl Airport (Madras Intl Airport),38,Anna,India
PEK,719,Beijing Capital Intl Airport,4287,Beijing Capital,China
VXO,1013,VAxjo Airport (Kronoberg Airport),3098,Vaxjo,Sweden
ASR,624,Erkilet Intl Airport,338,Kayseri Airport,Turkey
PDP,715,C/C Carlos A. Curbelo de Laguna del Sauce Intl Airport,586,Punta del Este,Uruguay
LCE,512,Goloson Intl Airport,371,La Ceiba Goloson,Honduras
WUX,1277,Sunan Shuofang Intl Airport,2889,Wuxi Shuofang,China
KLO,4589,Kalibo Intl Airport,4306,Kalibo,Philippines
PTP,760,Guadeloupe Pole Caraïbes Airport,562,Pointe-a-Pitre,Guadalupe
BOG,130,El Dorado Intl Airport,103,Bogota,Colombia
GBE,337,Sir Seretse Khama Intl Airport,3646,Gaborone,Botswana
TYN,975,Taiyuan Wusu Intl Airport,699,Taiyuan Wusu,China
SJO,859,Juan Santamaria Intl Airport,180,San Jose,Costa Rica
FSZ,1530,Shizuoka Airport (Mt. Fuji Shizuoka Airport),667,Shizuoka,Japan
URC,983,urumqi Diwopu Intl Airport,747,Urumchi Diwobao,China
AMS,48,Amsterdam Airport Schiphol,643,Amsterdam - Schiphol,Netherlands
EBB,276,Entebbe Intl Airport,215,Entebbe,Uganda
OOL,690,Gold Coast Airport,172,Coolangatta,Australia
TPA,951,Tampa Intl Airport,4421,Tampa,United States
ZAZ,1045,Zaragoza Airport,4425,Zaragoza,Spain
GCI,338,Guernsey Airport,269,Guernsey,Great Britain
ZHA,1290,Zhanjiang Airport,789,Zhanjiang,China
RAK,778,Menara Intl Airport,443,Marrakech,Morocco
POP,749,Puerto Plata Airport,578,Puerto Plata,Dominican Republic
SNN,876,Shannon Intl Airport,655,Shannon,Ireland
MDL,1595,Mandalay Intl Airport,438,Mandalay,Myanmar
MNL,620,Ninoy Aquino Intl Airport / Villamor Airbase,506,Manila - Ninoy Aquino,Philippines
PHX,728,Phoenix Sky Harbor Intl Airport,4415,Phoenix,United States
EBL,1129,Erbil Intl Airport,303,Erbil International Airport,Iraq
NJF,5718,Al Najaf Intl Airport,3584,Najaf,Iraq
OSD,698,are ostersund Airport,529,Ostersund,Sweden
HAD,372,Halmstad Airport (Halmstad City Airport),276,Halmstad,Sweden
TRV,959,Trivandrum Intl Airport,716,Thiruvananthapuram,India
NNG,667,Nanning Wuxu Intl Airport,486,Nanning Wuxu,China
CIA,188,Ciampino-G. B. Pastine Intl Airport,163,Ciampino Airport,Italy
BLL,121,Billund Airport,100,Billund,Denmark
WEH,1275,Weihai Dashuibo Airport,4255,Shandong,China
CMN,207,Mohammed V Intl Airport,142,Casablanca,Morocco
BRU,144,Brussels (Zaventem) Airport,126,Brussels,Belgium
WUH,1018,Wuhan Tianhe Intl Airport,775,Wuhan Tianhe,China
BKI,118,Kota Kinabalu Intl Airport,356,Kota Kinabalu,Malaysia
BNX,1195,Banja Luka Intl Airport,4390,Banja Luka,Bosnia-Herzegovinia
NAT,656,Aeroporto Internacional Governador Aluizio Alves,2941,Natal,Brazil
VOG,1555,Gumrak Airport,2721,Volgograd,Russia
TOE,947,"Tozeur, Tunisia (Aeroport Intl Tozeur Nefta)",731,Tozeur,Tunisia
YYJ,1042,Victoria Intl Airport,2982,Victoria,Canada
NIM,664,Diori Hamani Intl Airport,503,Niamey,Niger
ERF,287,Erfurt-Weimar Airport,216,Erfurt,Germany
LPQ,5038,Luang Prabang Intl Airport,3102,Luang Prabang,Laos
KNH,1381,Kinmen Airport (Shang Yi Airport),220,Everrich Downtown Kinmen,Taiwan
CJU,193,Jeju Intl Airport,2779,Jeju,South Korea
SUB,893,Juanda Intl Airport,324,Juanda,Indonesia
BZV,161,Maya-Maya Airport,115,Brazzaville,Congo
KSD,489,Karlstad Airport,334,Karlstad,Sweden
EXT,299,Exeter Intl Airport,221,Exeter,Great Britain
BGW,1570,Baghdad Intl Airport,60,Baghdad,Iraq
VRN,1010,Verona Airport,754,Verona,Italy
VLC,1004,Valencia Airport,750,Valencia,Spain DP
OPO,691,Francisco Sa Carneiro Airport,565,Porto,Portugal
MBA,575,Moi Intl Airport,463,Moi,Kenya
BKK,119,Suvarnabhumi Airport,68,Bangkok Airport,Thailand
DSA,245,Robin Hood Airport Doncaster Sheffield,197,Doncaster,Great Britain
CJB,191,Coimbatore Intl Airport,168,Coimbatore,India
SAL,817,El Salvador Intl Airport,628,San Salvador Comalapa,El Salvador
REU,789,Reus Airport,597,Reus,Spain DP
ISB,1585,Benazir Bhutto Intl Airport,305,Islamabad,Pakistan
HIJ,1583,Hiroshima Airport,289,Hiroshima,Japan
TRD,954,"Trondheim Airport, Vaernes",738,Trondheim,Norway
CTU,226,Chengdu Shuangliu Intl Airport,4269,Chengdu Tianfu,China
NTE,672,Nantes Atlantique Airport,488,Nantes,France
DLC,255,Dalian Zhoushuizi Intl Airport,187,Dalian Zhoushuizi,China
AGP,31,Malaga Airport,428,Malaga,Spain
TNG,942,Ibn Batouta Intl Airport,703,Tangier,Morocco
MCX,1539,Uytash Airport,426,Makhachkala,Russia
GUA,1582,La Aurora Intl Airport,267,Guatemala City,Guatemala
KVA,499,Kavala Intl Airport (Alexander the Great Airport),337,Kavala,Greece
LDE,515,Tarbes-Lourdes-Pyrenees Airport,706,Tarbes - Lourdes,France
EVE,294,"Harstad/Narvik Airport, Evenes",2823,Harstad,Norway
KAN,463,Mallam Aminu Kano Intl Airport,2769,Kano,Nigeria
KCH,467,Kuching Intl Airport,363,Kuching,Malaysia
GOJ,1531,Nizhny Novgorod Intl Airport (Strigino Airport),507,Nizhniy Novgorod,Russia
OIT,1601,Oita Airport,520,Oita,Japan
CAN,166,Guangzhou Baiyun Intl Airport,266,Guangzhou Baiyun,China
LLA,543,Lulea Airport (Kallax Airport),410,Lulea,Sweden
CIT,2671,Shymkent Intl Airport,3887,Shymkent,Kazakhstan
