SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
NATURAL AMERICAN SPIRIT - MENTHOL ONE MENTHOL KS BOX,200,95067,Brazil,Belo Horizonte,JTI
GAULOISES - FREI VON ZUSAETZEN (RED) KS BOX,200,86569,Germany,Hamburg,IMPERIAL BRANDS
MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,125840,Colombia,Cali,PMI
UNDEFINED,0,0,Poland,Poznan-Lawica,BAT
STERLING - KS BOX,200,44904,Poland,Szczecin,JTI
GAULOISES - BLONDES (RED) KS BOX,200,45358,Turkey,Trabzon Airport,IMPERIAL BRANDS
PANDA - KS BOX,200,51675,China,Quanzhou,CHINA NATIONAL
VOGUE - LILAS 100's BOX SLIMS,200,50571,Turkey,Bodrum Airport,BAT
VOGUE - CLIC BLEUE 100's BOX C SUPERSLIMS,200,104076,Morocco,Fes,BAT
UNDEFINED,0,0,Poland,Bydgoszcz,BAT
MAYFAIR - SKY BLUE KS BOX,600,46686,Turkey,Bodrum Airport,JTI
THE KING - GOLD KS BOX,200,56651,Spain DP,Alicante,KING'S TOBACCO
MAYFAIR - KS BOX,200,44279,Spain,Alicante,JTI
ROTHMANS - (BLUE) KS BOX,200,46008,Jordan,Amman,BAT
L&M - RED LABEL (5.0 CWB) KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,124245,Germany,Munster-Osnabruck,PMI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Spain,Sevilla,IMPERIAL BRANDS
MARLBORO - TOUCH (2.0) KS RCS SLIMS WHITE - GCC DF,200,105118,Oman,Salalah,PMI
MARLBORO - GOLD (3.5) KS RCB - CANARY ISLANDS DF - IDM SPAIN,200,124958,Canary Islands,La Palma,PMI
CAMEL - SILVER KS BOX,200,55682,Italy,Venice,JTI
LAMBERT & BUTLER - KS BOX,200,43912,Turkey,Istanbul Asia Airport,IMPERIAL BRANDS
CHESTERFIELD - RED KS BOX - NORTH AFRICA DF,200,58956,Morocco,Rabat,PMI
MARLBORO - RED 3.5 KS BOS 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE 1,600,125839,Qatar,Doha,PMI
STERLING - FRESH TASTE ON DEMAND KS BOX C,600,88594,Morocco,Oujda,JTI
NEWS - KS BOX,200,44311,Morocco,Marrakech,IMPERIAL BRANDS
GAULOISES - BLONDES (RED) KS BOX,200,45358,Morocco,Essaouira,IMPERIAL BRANDS
MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 600 SPECIAL OUTER - UNITED KINGDOM DF - IDM UNITED KINGDOM,600,122750,Great Britain,Norwich,PMI
NEWS - KS BOX,600,44311,Morocco,Oujda,IMPERIAL BRANDS
DOUBLE HAPPINESS - KS SOFT,200,47113,Taiwan,Kaohsiung,NANYANG BROTHERS
KENT - NANOTEK NEO KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,55423,China,Nanchang Changbei,BAT
MAYFAIR - SKY BLUE KS BOX,200,46686,Nigeria,Abuja,JTI
MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM AUSTRIA,400,122889,Austria,Salzburg,PMI
MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,125837,Brazil,Salvador,PMI
NATURAL AMERICAN SPIRIT - (BLUE) KS BOX,200,54054,Caribbean Other,Basseterre (Saint Kitts),JTI
MARLBORO - SUMMER SPLASH MENTHOL KS BOS C MUL WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,144126,China,Guangzhou Baiyun,PMI
CAMEL - (YELLOW) KS BOX,200,49844,Netherlands,Eindhoven,JTI
SILK CUT - PURPLE KS BOX,200,45375,Greece,Heraklion Airport,JTI
CAMEL - FILTER KS BOX,200,88440,Morocco,Tangier,JTI
GAULOISES - BLONDES (RED) KS BOX,200,45358,France DP,Paris Orly,IMPERIAL BRANDS
VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,45104,Morocco,Rabat,BAT
L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,123639,Cape Verde,Espargos,PMI
MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,125840,Togo,Togo,PMI
MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,125837,Mexico,Ixtapa Zihuatanejo,PMI
ROTHMANS - (BLUE) KS BOX,200,46008,Great Britain,Exeter,BAT
PARLIAMENT - AQUA BLUE KS RCB JUMBO RC WHITE - RUSSIA DF - IDM RUSSIA,200,121936,Russia,St. Petersburg Pulkovo,PMI
WINSTON - CLASSIC KS BOX,400,54087,Brazil,Recife,JTI
NATURAL AMERICAN SPIRIT - (BLUE) KS BOX,400,54054,Germany,Frankfurt,JTI
VOGUE - MENTHE 1 MENTHOL 100's BOX SUPERSLIMS,200,51509,Tunisia,Monastir,BAT
VOGUE - LILAS 100's BOX SLIMS,200,50571,Spain DP,Mahon Airport,BAT
CAMEL - (BLUE) KS BOX,200,45351,Ecuador,Guayaquil,JTI
STATE EXPRESS 555 - (YELLOW) KS BOX,200,52627,China,Wuhan Tianhe,BAT
CHUNGHWA - KS BOX,200,43087,China,Shenyang Taoxian,CHINA NATIONAL
WINSTON - BLUE 100's BOX,200,56655,Latvia,Riga,JTI
L&M - BLUE LABEL (5.0 CWB) KS BOX - RUSSIA DF - IDM RUSSIA,200,122529,Russia,Moscow - Sheremetyevo,PMI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Martinique,Fort-de-France,IMPERIAL BRANDS
CAMEL - KS BOX,200,43011,China,Jinan Xiaoqiang,JTI
LAMBERT & BUTLER - BLUE KS BOX,200,96896,Greece,Heraklion Airport,IMPERIAL BRANDS
KENT - NANOTEK (SILVER) KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,55421,Turkey,Bodrum Airport,BAT
L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,200,157067,Grenada,St. George's Point Saline,PMI
STERLING - SUPERKINGS (RED) 100's BOX,200,61077,Great Britain,Norwich,JTI
VOGUE - LILAS 100's L-STICK BOX SUPERSLIMS,200,70512,Guadalupe,Pointe-a-Pitre,BAT
NATURAL AMERICAN SPIRIT - (ORANGE) KS BOX,200,92510,Brazil,Florianopolis,JTI
MARLBORO - (RED FWD) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,122765,Mayotte,Pamandzi,PMI
