Thickness,Actual,Ideal,Gap
MAG,0.0,0.2637695078,0.2637695078
SLI,2.5269192898,4.286242141,1.7593228512
SSL,47.7217337437,44.335534311,-3.386199432699996
STD,49.7513469665,130.368086151,80.6167391845
