Taste,Volume_Percentage,PMI_Volume_Percentage,Ideal_Percentage,Market_vs_Ideal_Gap,PMI_vs_Ideal_Gap,PMI_vs_Market_Gap
1mg,0.0,0.0,2.1557491903,-2.1557491903,-2.1557491903,0.0
Full Flavor,93.0872532583583,92.07644636978588,152.9940247581,-59.90677149974171,-60.91757838831413,-1.010806888572418
Lights,6.912746741641702,7.923553630214107,18.7497115755,-11.8369648338583,-10.82615794528589,1.010806888572405
Ultralights,0.0,0.0,5.3541465869,-5.3541465869,-5.3541465869,0.0
