Flavor,Kuwait PMI SKU Count,Kuwait PMI SKU %,Kuwait Comp SKU Count,Kuwait Comp SKU %,Jeju PMI SKU Count,Jeju PMI SKU %,Jeju Comp SKU Count,Jeju Comp SKU %
Menthol,5,2.762430939226519,19,4.679802955665025,3,5.263157894736842,11,4.621848739495799
Menthol Caps,2,1.104972375690608,0,0.0,6,10.52631578947368,9,3.781512605042017
NTD Caps,34,18.78453038674033,30,7.389162561576355,16,28.07017543859649,77,32.35294117647059
Regular,140,77.34806629834254,357,87.93103448275862,32,56.14035087719298,141,59.2436974789916
