Taste,Actual,Ideal,Gap
1mg,0.0,2.7921844871,2.7921844871
Full Flavor,81.6703415848,103.5217078193,21.85136623449999
Lights,4.627731725999999,21.3477585481,16.7200268221
Ultralights,13.6911561629,11.1455110966,-2.545645066300001
