Length,Actual,Ideal,Gap
100,3.829054752999999,4.6200253908,0.7909706378000001
KS,96.09815134489999,115.1440729879,19.045921643
LONG SIZE,0.0,5.7684763884,5.7684763884
LONGER THAN KS,0.0620233758,2.4172221332,2.3551987574
REGULAR SIZE,0.0,10.8573650508,10.8573650508
