Flavor,Actual,Ideal,Gap
Menthol,1.5745893434,9.3143405406,7.7397511972
Menthol Caps,3.821873109399999,9.005176175899999,5.1833030665
NTD,0.0,5.602292776400001,5.602292776400001
NTD Caps,33.7531248993,80.0,46.2468751007
Regular,60.8504126479,75.3318226179,14.48140997
