Year,Product Category,Location,DF_Market,TMO,Brand Family,CR_BrandId,DF_Vol,Flavor,Taste,Thickness,Length,cum_volume,cum_pct
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123515,6411.2,Regular,Full Flavor,SLI,KS,1085176.6,55.95548404149784
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123515,6411.2,Regular,Full Flavor,SLI,KS,1091587.8,56.28606783706333
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123486,5931.6,Regular,Full Flavor,SLI,KS,1097519.4,56.59192178667904
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123486,5931.6,Regular,Full Flavor,SLI,KS,1103451.0,56.89777573629475
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123486,5931.6,Regular,Full Flavor,SLI,KS,1109382.600000001,57.20362968591047
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123486,5931.6,Regular,Full Flavor,SLI,KS,1115314.200000001,57.50948363552619
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113962,5740.8,Regular,Full Flavor,STD,KS,1121055.000000001,57.80549927278324
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113962,5740.8,Regular,Full Flavor,STD,KS,1126795.800000001,58.10151491004027
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113962,5740.8,Regular,Full Flavor,STD,KS,1132536.600000001,58.39753054729733
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113962,5740.8,Regular,Full Flavor,STD,KS,1138277.400000001,58.69354618455437
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113962,5740.8,Regular,Full Flavor,STD,KS,1144018.200000001,58.98956182181141
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113962,5740.8,Regular,Full Flavor,STD,KS,1149759.000000001,59.28557745906846
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,107201,5690.4,Regular,Full Flavor,STD,KS,1155449.400000001,59.57899429683453
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,107201,5690.4,Regular,Full Flavor,STD,KS,1161139.800000001,59.87241113460059
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,107201,5690.4,Regular,Full Flavor,STD,KS,1166830.200000001,60.16582797236666
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,107201,5690.4,Regular,Full Flavor,STD,KS,1172520.600000001,60.45924481013273
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,107201,5690.4,Regular,Full Flavor,STD,KS,1178211.0,60.7526616478988
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,107201,5690.4,Regular,Full Flavor,STD,KS,1183901.4,61.04607848566486
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123517,5619.6,Regular,Full Flavor,SLI,KS,1189521.0,61.33584462890792
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123517,5619.6,Regular,Full Flavor,SLI,KS,1195140.600000001,61.62561077215097
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123517,5619.6,Regular,Full Flavor,SLI,KS,1200760.200000001,61.91537691539401
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123517,5619.6,Regular,Full Flavor,SLI,KS,1206379.800000001,62.20514305863707
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,125836,5427.6,Regular,Full Flavor,SLI,KS,1211807.400000001,62.4850090133431
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,125836,5427.6,Regular,Full Flavor,SLI,KS,1217235.000000001,62.76487496804912
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,125836,5427.6,Regular,Full Flavor,SLI,KS,1222662.600000001,63.04474092275515
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,125836,5427.6,Regular,Full Flavor,SLI,KS,1228090.200000001,63.32460687746118
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123645,5133.8,Regular,Full Flavor,STD,KS,1233224.000000001,63.58932348116627
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123645,5133.8,Regular,Full Flavor,STD,KS,1238357.800000001,63.85404008487136
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123645,5133.8,Regular,Full Flavor,STD,KS,1243491.600000001,64.11875668857647
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123645,5133.8,Regular,Full Flavor,STD,KS,1248625.400000001,64.38347329228155
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123645,5133.8,Regular,Full Flavor,STD,KS,1253759.200000001,64.64818989598665
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,124857,4877.0,Regular,Full Flavor,SLI,KS,1258636.200000001,64.89966499752347
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,124857,4877.0,Regular,Full Flavor,SLI,KS,1263513.200000001,65.1511400990603
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,124857,4877.0,Regular,Full Flavor,SLI,KS,1268390.200000001,65.40261520059713
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,124857,4877.0,Regular,Full Flavor,SLI,KS,1273267.200000001,65.65409030213395
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,124857,4877.0,Regular,Full Flavor,SLI,KS,1278144.200000001,65.90556540367078
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122961,4614.6,Regular,Full Flavor,STD,KS,1282758.800000001,66.14351024754033
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122961,4614.6,Regular,Full Flavor,STD,KS,1287373.400000002,66.38145509140989
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122961,4614.6,Regular,Full Flavor,STD,KS,1291988.000000002,66.61939993527946
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122961,4614.6,Regular,Full Flavor,STD,KS,1296602.600000002,66.85734477914902
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122945,4089.8,Regular,Full Flavor,STD,KS,1438326.399999999,74.16511738427182
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122945,4089.8,Regular,Full Flavor,STD,KS,1442416.199999999,74.37600171280684
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122945,4089.8,Regular,Full Flavor,STD,KS,1446506.0,74.58688604134186
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122945,4089.8,Regular,Full Flavor,STD,KS,1450595.8,74.79777036987689
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123642,4069.2,Regular,Full Flavor,STD,KS,1454665.0,75.00759249068346
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123642,4069.2,Regular,Full Flavor,STD,KS,1458734.199999999,75.21741461149001
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123642,4069.2,Regular,Full Flavor,STD,KS,1462803.399999999,75.42723673229659
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123642,4069.2,Regular,Full Flavor,STD,KS,1466872.599999999,75.63705885310316
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123642,4069.2,Regular,Full Flavor,STD,KS,1470941.799999999,75.84688097390972
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123438,3422.0,Regular,Full Flavor,SLI,KS,1549562.399999999,79.90083286398271
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123438,3422.0,Regular,Full Flavor,SLI,KS,1552984.399999999,80.0772830992624
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123438,3422.0,Regular,Full Flavor,SLI,KS,1556406.399999999,80.25373333454208
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123438,3422.0,Regular,Full Flavor,SLI,KS,1559828.399999999,80.43018356982175
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123438,3422.0,Regular,Full Flavor,SLI,KS,1563250.399999999,80.60663380510144
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123646,3289.0,Regular,Full Flavor,STD,KS,1583071.399999999,81.62867358110334
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123646,3289.0,Regular,Full Flavor,STD,KS,1586360.399999999,81.79826587328185
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123646,3289.0,Regular,Full Flavor,STD,KS,1589649.399999999,81.96785816546037
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123646,3289.0,Regular,Full Flavor,STD,KS,1592938.399999999,82.13745045763888
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,123646,3289.0,Regular,Full Flavor,STD,KS,1596227.399999999,82.3070427498174
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113646,3122.0,Regular,Full Flavor,STD,KS,1599349.399999999,82.46802394050798
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113646,3122.0,Regular,Full Flavor,STD,KS,1602471.399999999,82.62900513119855
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113646,3122.0,Regular,Full Flavor,STD,KS,1605593.399999999,82.78998632188915
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113646,3122.0,Regular,Full Flavor,STD,KS,1608715.399999999,82.95096751257972
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113646,3122.0,Regular,Full Flavor,STD,KS,1611837.399999999,83.1119487032703
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113646,3122.0,Regular,Full Flavor,STD,KS,1614959.399999999,83.27292989396088
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,113646,3122.0,Regular,Full Flavor,STD,KS,1618081.399999999,83.43391108465146
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,91859,2807.8,Regular,Full Flavor,STD,KS,1638668.399999999,84.49544848783755
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,91859,2807.8,Regular,Full Flavor,STD,KS,1641476.199999999,84.64022843249515
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,91859,2807.8,Regular,Full Flavor,STD,KS,1644283.999999999,84.78500837715274
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,91859,2807.8,Regular,Full Flavor,STD,KS,1647091.799999999,84.92978832181034
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,91859,2807.8,Regular,Full Flavor,STD,KS,1649899.599999999,85.07456826646794
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,91859,2807.8,Regular,Full Flavor,STD,KS,1652707.399999999,85.21934821112553
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,91859,2807.8,Regular,Full Flavor,STD,KS,1655515.199999999,85.36412815578312
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123408,2033.0,Regular,Full Flavor,SLI,KS,1657548.199999999,85.46895671461527
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123408,2033.0,Regular,Full Flavor,SLI,KS,1659581.199999999,85.57378527344743
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123408,2033.0,Regular,Full Flavor,SLI,KS,1661614.199999999,85.67861383227957
