Year,Product Category,Location,DF_Market,TMO,Brand Family,CR_BrandId,DF_Vol,Flavor,Taste,Thickness,Length,cum_volume,cum_pct
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,70865,10700.8,Regular,Full Flavor,STD,KS,778374.8000000005,40.13571496077606
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,70865,10700.8,Regular,Full Flavor,STD,KS,789075.6000000006,40.6874854685729
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,70865,10700.8,Regular,Full Flavor,STD,KS,799776.4000000006,41.23925597636975
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,70865,10700.8,Regular,Full Flavor,STD,KS,810477.2000000007,41.79102648416661
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,98816,10104.0,Regular,Full Flavor,STD,KS,820581.2000000007,42.31202390592755
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,98816,10104.0,Regular,Full Flavor,STD,KS,830685.2000000007,42.83302132768848
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,98816,10104.0,Regular,Full Flavor,STD,KS,840789.2000000007,43.35401874944941
2024,Cigarettes,Kuwait,Kuwait,PMI,L&M,98816,10104.0,Regular,Full Flavor,STD,KS,850893.2000000007,43.87501617121033
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123513,9194.2,Regular,Full Flavor,SLI,KS,860087.4000000006,44.34910113708072
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123513,9194.2,Regular,Full Flavor,SLI,KS,869281.6000000006,44.8231861029511
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123513,9194.2,Regular,Full Flavor,SLI,KS,878475.8000000005,45.29727106882148
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123513,9194.2,Regular,Full Flavor,SLI,KS,887670.0000000005,45.77135603469186
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123513,9194.2,Regular,Full Flavor,SLI,KS,896864.2000000004,46.24544100056224
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122947,8377.6,Regular,Full Flavor,STD,KS,905241.8000000004,46.67741922706109
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122947,8377.6,Regular,Full Flavor,STD,KS,913619.4000000004,47.10939745355994
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122947,8377.6,Regular,Full Flavor,STD,KS,921997.0000000003,47.54137568005879
2024,Cigarettes,Kuwait,Kuwait,PMI,PARLIAMENT,122947,8377.6,Regular,Full Flavor,STD,KS,930374.6000000003,47.97335390655764
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,937550.0000000003,48.34334251503977
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,944725.4000000004,48.71333112352189
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,951900.8000000004,49.08331973200402
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,959076.2000000004,49.45330834048615
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,966251.6000000004,49.82329694896827
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,973427.0000000005,50.19328555745039
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,980602.4000000005,50.56327416593253
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,987777.8000000005,50.93326277441464
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,994953.2000000005,51.30325138289678
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,1002128.600000001,51.67323999137891
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,1009304.000000001,52.04322859986102
2024,Cigarettes,Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88913,7175.4,Regular,Full Flavor,STD,KS,1016479.400000001,52.41321720834316
