Thickness,Volume_Percentage,PMI_Volume_Percentage,Ideal_Percentage,Market_vs_Ideal_Gap,PMI_vs_Ideal_Gap,PMI_vs_Market_Gap
SLI,22.12696497672786,32.53690612576845,3.924504081,18.20246089572786,28.61240204476845,10.40994114904059
SSL,3.567417713233265,0.0,1.6558319553,1.911585757933265,-1.6558319553,-3.567417713233265
STD,74.30561731003888,67.46309387423153,133.2268259148,-58.92120860476112,-65.76373204056847,-6.842523435807351
