Flavor,Kuwait PMI Volume,Kuwait PMI Volume %,Kuwait Comp Volume,Kuwait Comp Volume %,Jeju PMI Volume,Jeju PMI Volume %,Jeju Comp Volume,Jeju Comp Volume %
Menthol,1307000,0.1150316332590864,5011400,1.348566510719591,3726000,3.108875731745576,14737600,1.399917967026088
Menthol Caps,170400,0.01499723818465825,0,0.0,8400600,7.009238183602225,36414600,3.4590064055252
NTD Caps,18513400,1.629400642064859,12406600,3.338613016700659,25269200,21.0839513259864,370519200,35.19545144447756
Regular,1116218400,98.2405704864914,354191406,95.31282047257974,82454600,68.7979347586658,631076000,59.94562418297114
