Thickness,Volume_Percentage,PMI_Volume_Percentage,Ideal_Percentage,Market_vs_Ideal_Gap,PMI_vs_Ideal_Gap,PMI_vs_Market_Gap
MAG,0.0,0.0,0.2637695078,-0.2637695078,-0.2637695078,0.0
SLI,2.345604732647427,7.923553630214107,4.286242141,-1.940637408352573,3.637311489214107,5.57794889756668
SSL,52.21930046048077,0.0,44.335534311,7.883766149480763,-44.335534311,-52.21930046048077
STD,45.43509480687179,92.07644636978588,130.368086151,-84.93299134412821,-38.29163978121412,46.6413515629141
