Taste,Kuwait PMI Volume,Kuwait PMI Volume %,Kuwait Comp Volume,Kuwait Comp Volume %,Jeju PMI Volume,Jeju PMI Volume %,Jeju Comp Volume,Jeju Comp Volume %
Full Flavor,930574400,81.90167796564224,301028606,81.00672403324474,112475600,93.84666217217465,987187800,93.77252320927128
Lights,0,0.0,69777800,18.7771888637286,7374800,6.153337827825355,65559600,6.227476790728717
Ultralights,205634800,18.09832203435776,803000,0.2160871030266656,0,0.0,0,0.0
