Thickness,Kuwait PMI Volume,Kuwait PMI Volume %,Kuwait Comp Volume,Kuwait Comp Volume %,Jeju PMI Volume,Jeju PMI Volume %,Jeju Comp Volume,Jeju Comp Volume %
SLI,362798000,31.93056349130072,23385600,6.293059223587037,12257600,10.2274168463351,17373000,1.650253422615909
SSL,0,0.0,42261800,11.37264001331549,0,0.0,559584000,53.1546313959075
STD,773411200,68.06943650869928,305962006,82.33430076309747,107592800,89.7725831536649,475790400,45.19511518147658
