Length,Volume_Percentage,PMI_Volume_Percentage,Ideal_Percentage,Market_vs_Ideal_Gap,PMI_vs_Ideal_Gap,PMI_vs_Market_Gap
100,53.86591919104606,0,57.5467786916,-3.680859500553936,-57.5467786916,-53.86591919104606
KS,46.13408080895393,100,114.0426777475,-67.90859693854608,-14.04267774750001,53.86591919104607
LONG SIZE,0.0,0,1.0024090954,-1.0024090954,-1.0024090954,0.0
LONGER THAN KS,0.0,0,6.2979777305,-6.2979777305,-6.2979777305,0.0
REGULAR SIZE,0.0,0,0.3637888458,-0.3637888458,-0.3637888458,0.0
