Taste,Volume_Percentage,PMI_Volume_Percentage,Ideal_Percentage,Market_vs_Ideal_Gap,PMI_vs_Ideal_Gap,PMI_vs_Market_Gap
1mg,0.0,0.0,2.7921844871,-2.7921844871,-2.7921844871,0.0
Full Flavor,82.88009871753383,81.55749312603733,103.5217078193,-20.64160910176616,-21.96421469326266,-1.322605591496497
Lights,5.337443813606481,0.0,21.3477585481,-16.01031473449352,-21.3477585481,-5.337443813606481
Ultralights,11.7824574688597,18.44250687396267,11.1455110966,0.6369463722596986,7.296995777362671,6.660049405102972
